prodId,prodNome,prodMarca,prodPrecoCompra,prodPrecoVenda,prodPercentual,prodQtd,prodTipo
1,Produto Indisponivel,1,0,0,0,0,PRODUTO
8,ARMAÇÃO NYLON,5,"190,00","380,00",100,4,PRODUTO
10,ARMAÇÃO BALGRIF,21,"150,00","300,00",100,1,PRODUTO
18,OCULOS SOLAR PROSOL,13,200,"400,00",100,0,PRODUTO
19,OCULOS SOLAR PIERRE CARDIN,9,"275,00","550,00",100,0,PRODUTO
21,SOLAR Z FORA DE LINHA,38,"270,00","540,00",100,1,PRODUTO
23,SOLAR Z FORA DE LINHA,67,"240,00","480,00",100,0,PRODUTO
24,SOLAR Z FORA DE LINHA,2,0,0,0,1,PRODUTO
26,SOLAR Z FORA DE LINHA,68,"175,00","350,00",100,0,PRODUTO
27,SOLAR MAXLINE,8,"330,00","660,00",100,0,PRODUTO
28,SOLAR Z FORA DE LINHA,4,"260,00","520,00",100,0,PRODUTO
30,SOLAR Z FORA DE LINHA,71,0,0,0,1,PRODUTO
31,OCULOS SOLAR LEMUD,72,"275,00","550,00",100,0,PRODUTO
32,OCULOS SOLAR KRISTAL,73,"200,00","400,00",100,1,PRODUTO
33,SOLAR COROLLA,5,"250,00","500,00",100,1,PRODUTO
34,SOLAR Z FORA DE LINHA,74,"140,00","280,00",100,1,PRODUTO
35,SOLAR Z FORA DE LINHA,75,"150,00","300,00",100,0,PRODUTO
36,SOLAR Z FORA DE LINHA,76,0,0,0,1,PRODUTO
37,SOLAR Z FORA DE LINHA,4,"300,00","600,00",100,0,PRODUTO
40,LENTE P VIP/INC,64,"195,00","390,00",100,5,PRODUTO
41,LENTE P GT21.67/AR-MAR,63,"625,00","1250,00",100,2,PRODUTO
42,LENTE P 1.50 ESPACE / INC.,60,"255,00","510,00",100,5,PRODUTO
43,LENTE P 1.50 ESPACE/TRANST,60,"390,00","780,00",100,14,PRODUTO
44,LENTE ARGOS 1.50 INC.,51,"500,00","1000,00",100,10,PRODUTO
45,LENTE ARGOS 1.50 AR CX,51,"700,00","1400,00",100,20,PRODUTO
47,LENTE GT2 PHOTOFUSION,63,"900,00","1800,00",100,9,PRODUTO
48,LENTE P GT2/INC,63,"250,00","500,00",100,6,PRODUTO
49,LENTE P 1.50 ESPACE / AR,60,"325,00","650,00",100,4,PRODUTO
50,LENTE P VIP/TRANST,64,"380,00","760,00",100,1,PRODUTO
51,LENTE P VIP/AR,64,"325,00","650,00",100,2,PRODUTO
54,LENTE P VARILUX LIB/INC,60,"600,00","1200,00",100,9,PRODUTO
55,LENTE P VARILUX LIB/CZ,60,"560,00","1120,00",100,3,PRODUTO
56,VARILUX LIBERTY360 TRAN/CZ SAPPHIPE,60,"1082,00","2164,00",100,10,PRODUTO
57,LENTE VARILUX CONFORT MAX INC,60,"750,00","1500,00",100,5,PRODUTO
58,VARILUX COMFORT MAX CZ SAPPHIRE,60,"1350,00","2700,00",100,15,PRODUTO
59,LENTE P VARILUX CONF.TRAN/CZ,60,"1354,00","2708,00",100,6,PRODUTO
60,LENTE Z FORA DE LINHA,128,"180,00","360,00",100,0,PRODUTO
70,LENTE PR1.50 ARGOS TRANSIT,51,"572,0","1144,00",100,8,PRODUTO
71,LENTE PR1.50 ARGOS TRANSIT,51,"754,50","1509,00",100,12,PRODUTO
72,LENTE P NOLINE INC,60,"250,00","500,00",100,2,PRODUTO
73,LENTE P NOLINE TRANS,60,"390,00","780,00",100,2,PRODUTO
74,LENTE P 1.50 ESPACE TRAN/AR,60,"450,00","900,00",100,7,PRODUTO
