ateId,ateColaborador,ateCliente,ateDataCompra,ateDataVencimento,ateTotal,atePago,ateFormaPagamento,ateEntrada
10021,2,7,10-Feb-15,10-Feb-15,"960,00",Carnê aberto,CARNÊ,
10024,2,20,12-Aug-16,23-Sep-16,"550,00",Carnê concluído,CARNÊ,"0,00"
10025,2,21,07-Dec-16,07-Feb-17,"1800,00",Carnê concluído,CARNÊ,"0,00"
10026,,17,12-Feb-16,12-May-16,"700,00",Carnê concluído,CARNÊ,"0,00"
10027,,15,03-Jun-16,05-Jul-16,"800,00",Carnê concluído,CARNÊ,"160,00"
10028,,14,05-May-16,05-Jun-16,"780,00",Carnê concluído,CARNÊ,"0,00"
10029,,11,08-May-12,10-Jun-12,"450,00",Carnê aberto,CARNÊ,"0,00"
10031,2,16,22-Feb-16,22-Mar-16,"800,00",Carnê concluído,CARNÊ,"0,00"
10032,2,24,10-Dec-14,10-Jan-15,"1200,00",Carnê concluído,CARNÊ,"0,00"
10033,2,23,22-Oct-13,10-Nov-13,"630,00",Carnê aberto,CARNÊ,"30,00"
10034,2,22,09-Nov-12,10-Sep-14,"1330,00",Carnê aberto,CARNÊ,"0,00"
10035,2,26,24-Dec-15,05-Mar-16,"1250,00",Carnê aberto,CARNÊ,"884,00"
10036,2,106,15-Apr-16,10-May-16,"780,00",Carnê concluído,CARNÊ,"0,00"
10037,,36,26-Nov-14,06-Jan-15,"850,00",Carnê aberto,CARNÊ,"170,00"
10038,2,32,16-Jan-17,,"210,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10039,2,31,07-Aug-15,,"960,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10040,2,31,28-May-16,05-Jul-16,"180,00",Carnê concluído,CARNÊ,"50,00"
10041,2,30,16-Jan-17,04-Jun-16,"750,00",Carnê concluído,CARNÊ,"0,00"
10042,,40,31-Aug-15,27-Jan-17,"3010,00",Carnê concluído,CARNÊ,"2738,00"
10043,,8,05-Mar-15,,"1920,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10044,,29,09-Aug-16,07-Nov-16,"240,00",Carnê concluído,CARNÊ,"130,00"
10045,,28,14-Jun-16,,"1015,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10046,2,38,28-Nov-16,05-Jan-17,"690,00",Carnê concluído,CARNÊ,"0,00"
10047,2,39,07-Jul-16,23-Jan-17,"580,00",Carnê concluído,CARNÊ,"464,00"
10048,2,41,27-May-16,01-Feb-17,"1250,00",Carnê concluído,CARNÊ,"650,00"
10049,2,42,12-Jan-16,18-Jan-16,"600,00",Carnê concluído,CARNÊ,"0,00"
10050,2,43,30-Oct-15,17-Apr-16,"1200,00",Carnê concluído,CARNÊ,"1000,00"
10051,2,44,29-Oct-15,12-Aug-16,"1600,00",Carnê concluído,CARNÊ,"1000,00"
10052,2,45,13-Jun-16,15-Feb-17,"1000,00",Carnê concluído,CARNÊ,"660,00"
10054,2,46,01-Mar-16,,"800,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10056,2,158,10-Jan-17,,400,Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10057,2,159,17-Jan-17,31-Jan-17,"310,00",Carnê concluído,CARNÊ,"150,00"
10058,2,161,18-Jan-17,,"660,00",Pago com sucesso no catão de crédito em 6 parcelas,CRÉDITO,"0,00"
10060,2,174,25-Jan-17,28-Feb-17,"900,00",Carnê concluído,CARNÊ,"0,00"
10061,2,160,23-Jan-17,15-Feb-17,"1200,00",Carnê concluído,CARNÊ,"300,00"
10062,2,197,25-Jan-17,25-Feb-17,"600,00",Carnê aberto,CARNÊ,"120,00"
10063,2,272,01-Feb-17,01-Feb-17,"320,00",Carnê concluído,CARNÊ,"0,00"
10064,2,198,25-Jan-17,02-Feb-17,"780,00",Carnê concluído,CARNÊ,"0,00"
10066,2,67,28-Dec-16,06-Feb-17,"480,00",Carnê concluído,CARNÊ,"0,00"
10068,,293,04-Feb-17,,"960,00",Pago com sucesso no catão de crédito em 6 parcelas,CRÉDITO,"0,00"
10069,,292,08-Feb-17,,"500,00",Pago com sucesso no catão de crédito em 4 parcelas,CRÉDITO,"150,00"
10070,,294,06-Feb-17,,"560,00",Pago com sucesso no cartão de débito,DÉBITO,"0,00"
10071,,295,08-Feb-17,,"250,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10072,,296,08-Feb-17,,"400,00",Pago com sucesso no catão de crédito em 4 parcelas,CRÉDITO,"0,00"
10073,1,180,03-Feb-17,03-Mar-17,"1300,00",Carnê concluído,CARNÊ,"200,00"
10074,2,3,03-Oct-16,20-Nov-16,"1280,00",Carnê concluído,CARNÊ,"256,00"
10075,2,345,11-Feb-17,11-Mar-17,"700,00",Carnê aberto,CARNÊ,"200,00"
10076,2,354,15-Feb-17,15-Mar-17,"700,00",Carnê concluído,CARNÊ,"140,00"
10077,2,341,09-Feb-17,,"900,00",Pago com sucesso no catão de crédito em 1 parcelas,CRÉDITO,"0,00"
10078,2,342,09-Feb-17,,"1630,00",Pago com sucesso no catão de crédito em 1 parcelas,CRÉDITO,"0,00"
10079,2,343,10-Feb-17,,"200,00",Pago com sucesso no catão de crédito em 1 parcelas,CRÉDITO,"0,00"
10080,2,344,10-Feb-17,,"700,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10081,2,347,13-Feb-17,,"500,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10082,2,349,14-Feb-17,,"1300,00",Pago com sucesso no catão de crédito em 1 parcelas,CRÉDITO,"0,00"
10083,2,350,14-Feb-17,,"500,00",Pago com sucesso no catão de crédito em 1 parcelas,CRÉDITO,"0,00"
10084,2,356,16-Feb-17,,"250,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10085,2,298,08-Feb-17,01-Mar-17,"400,00",Carnê concluído,CARNÊ,"0,00"
10086,2,297,07-Feb-17,,"800,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10087,2,402,23-Mar-17,,"500,00",Pago com sucesso no cartão de débito,DÉBITO,"0,00"
10088,2,401,24-Feb-17,,"840,00",Pago com sucesso no catão de crédito em 6 parcelas,CRÉDITO,"0,00"
10090,2,103,23-Dec-16,05-Jan-17,"900,00",Carnê concluído,CARNÊ,"0,00"
10091,2,399,20-Feb-17,05-Mar-17,"240,00",Carnê concluído,CARNÊ,"0,00"
10092,2,99,16-Nov-16,10-Dec-16,"700,00",Carnê concluído,CARNÊ,"300,00"
10093,2,351,14-Feb-17,,"450,00",Pago com sucesso em dinheiro,DINHEIRO,"0,00"
10094,2,327,26-May-14,26-Jan-16,"2120,00",Carnê concluído,CARNÊ,"1855,00"
10095,2,48,27-Aug-15,06-Jan-16,"960,00",Carnê concluído,CARNÊ,"660,00"
