balancoId,balancoMesAno,balancoValor,balancoPercentual
1,01/2017,"R$ 1,873.54",
2,12/2016,"R$ 2,701.00",
3,02/2017,"R$ 12,381.38",
4,01/2017,R$ 0.00,
5,11/2016,"R$ 4,648.00",
6,10/2016,"R$ 1,776.00",
7,09/2016,R$ 0.00,
8,01/2017,R$ 0.00,
9,02/2017,"R$ 12,381.38",
10,,R$ 0.00,
11,03/2015,R$ 0.00,
12,09/2015,R$ 0.00,
13,01/2017,R$ 0.00,
14,03/2017,"R$ 11,250.94",
15,01/2017,"R$ 1,873.54",
16,04/2017,"R$ 6,567.23",
17,05/2017,"R$ 9,358.19",
18,06/2017,"R$ 9,183.21",
19,07/2017,"R$ 8,980.18",
20,08/2017,"R$ 18,521.69",
21,09/2017,"R$ 8,716.86",
22,10/2017,"R$ 5,492.74",
23,11/2017,"R$ 7,115.49",
24,12/2017,"R$ 10,380.16",
25,01/2018,"R$ 8,665.92",
26,12/2018,"R$ 6,055.43",
27,02/2018,"R$ 7,382.87",
28,03/2018,"R$ 10,650.63",
29,04/2018,"R$ 9,683.34",
30,05/2018,"R$ 10,158.51",
31,06/2018,"R$ 3,909.87",
32,02/2015,R$ 480.00,
33,01/2015,R$ 450.00,
34,03/2015,"R$ 2,650.00",
35,12/2015,"R$ 1,134.00",
36,01/2016,R$ 485.00,
37,02/2016,R$ 385.00,
38,03/2016,R$ 960.00,
39,04/2016,R$ 415.00,
40,06/2014,"R$ 2,500.00",
41,06/2013,R$ 0.00,
42,12/2013,R$ 350.00,
43,01/2014,R$ 300.00,
44,12/2014,R$ 0.00,
45,07/2014,R$ 0.00,
46,05/2014,"R$ 1,975.00",
47,05/2015,R$ 660.00,
48,05/2016,"R$ 1,285.00",
49,06/2016,"R$ 2,385.00",
50,07/2016,"R$ 1,284.00",
51,08/2016,"R$ 1,355.00",
52,09/2016,R$ 980.00,
53,07/2018,"R$ 18,772.19",
54,08/2018,"R$ 12,801.20",
55,09/2018,"R$ 7,943.49",
56,10/2018,"R$ 1,052.04",
57,11/2018,"R$ 3,901.66",
58,01/2019,"R$ 7,610.77",
59,02/2019,"R$ 7,548.04",
60,03/2019,"R$ 3,315.30",
61,04/2019,"R$ 4,173.72",
62,05/2019,"R$ 10,399.96",
63,06/2019,"R$ 11,000.45",
64,07/2019,"R$ 9,593.12",
65,08/2019,"R$ 7,371.03",
66,09/2019,"R$ 3,942.01",
67,10/2019,"R$ 7,888.38",
68,11/2019,"R$ 5,049.20",
69,12/2019,"R$ 9,013.21",
70,01/2020,"R$ 6,246.49",
71,02/2020,"R$ 5,740.97",
72,03/2020,"R$ 2,354.24",
73,04/2020,R$ 888.93,
74,06/2020,"R$ 15,029.38",
75,05/2020,"R$ 4,044.19",
76,07/2020,"R$ 12,928.18",
77,08/2020,"R$ 5,594.96",
78,12/2010,R$ 0.00,
79,12/2011,R$ 0.00,
80,12/2012,R$ 0.00,
81,01/2013,R$ 0.00,
82,02/2013,R$ 0.00,
83,03/2013,R$ 0.00,
84,11/2013,R$ 100.00,
85,10/2013,R$ 180.00,
86,09/2013,R$ 350.00,
87,08/2013,R$ 0.00,
88,11/2014,R$ 170.00,
89,10/2014,"R$ 1,620.00",
90,08/2014,R$ 0.00,
91,08/2015,"R$ 3,398.00",
92,09/2020,"R$ 6,398.91",
93,10/2020,"R$ 12,837.31",
94,11/2020,"R$ 9,202.99",
95,12/2020,"R$ 6,204.10",
96,01/2021,"R$ 1,390.79",
97,02/2021,"R$ 5,904.39",
98,03/2021,"R$ 1,954.63",
99,04/2021,"R$ 4,270.03",
100,05/2021,"R$ 4,069.49",
101,06/2021,"R$ 6,658.75",
102,07/2021,"R$ 4,702.66",
103,08/2021,"R$ 8,611.34",
104,09/2021,"R$ 7,165.50",
105,10/2021,"R$ 8,747.71",
106,11/2021,-R$ 135.92,
107,12/2021,"R$ 3,975.27",
108,01/2022,"-R$ 1,187.70",
109,12/2022,"-R$ 1,181.72",
110,02/2022,"R$ 17,968.37",
111,03/2022,"R$ 5,614.26",
112,04/2022,"-R$ 4,515.59",
113,05/2022,"R$ 1,866.10",
114,06/2022,"R$ 3,275.93",
115,07/2022,"R$ 1,964.47",
116,08/2022,"R$ 7,205.05",
117,09/2022,"R$ 12,381.52",
118,10/2022,"R$ 7,050.92",
119,11/2022,"R$ 4,545.69",
120,01/2023,"R$ 6,342.77",
121,02/2023,"-R$ 1,450.82",
122,03/2023,"R$ 4,633.37",
123,04/2023,R$ 397.63,
124,05/2023,"R$ 7,502.76",
125,06/2023,"R$ 9,656.97",
126,07/2023,-R$ 447.27,
127,08/2023,"R$ 13,948.32",
128,09/2023,-R$ 183.93,
129,10/2023,"R$ 3,139.40",
130,12/2023,"-R$ 1,318.37",
131,11/2023,"R$ 7,700.68",
132,01/2024,"R$ 5,407.96",
133,02/2024,"R$ 4,595.31",
134,03/2024,R$ 114.69,
135,04/2024,"R$ 15,668.01",
136,05/2024,"R$ 14,800.50",
137,06/2024,"R$ 11,261.50",
138,01/2025,"R$ 18,851.25",
139,07/2024,"R$ 13,432.50",
140,02/2025,"R$ 16,252.50",
141,12/2024,"R$ 12,865.00",
142,04/2025,"R$ 18,573.51",
143,05/2025,"R$ 18,234.50",
144,03/2025,"R$ 1,867.63",
145,11/2024,"R$ 12,708.75",
146,10/2024,"R$ 11,631.25",
147,09/2024,"R$ 17,136.25",
148,08/2024,"R$ 10,803.50",
149,06/2025,"R$ 11,421.50",
150,07/2025,"R$ 14,125.00",
151,08/2025,"R$ 18,132.00",
152,09/2025,"R$ 20,338.00",
153,11/2025,"R$ 7,098.00",
154,10/2025,"R$ 20,338.00",
155,12/2025,"R$ 1,118.00",
156,01/2026,"R$ 1,312.00",
157,02/2026,R$ 0.00,
158,05/2026,R$ 0.00,
