[2026-09-18T18:22:33.242Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-18T18:22:34.476Z] INCONSISTÊNCIA FINANCEIRA venda=10034 calculado=231.10 ateTotal=1330.00
[2026-09-18T18:22:34.478Z] INCONSISTÊNCIA NOS ITENS venda=10034 calculado=231.10 itemTotalGeral=1330.00
[2026-09-18T18:22:34.549Z] INCONSISTÊNCIA FINANCEIRA venda=10035 calculado=650.00 ateTotal=1250.00
[2026-09-18T18:22:34.550Z] INCONSISTÊNCIA NOS ITENS venda=10035 calculado=650.00 itemTotalGeral=1250.00
[2026-09-18T18:22:34.983Z] INCONSISTÊNCIA FINANCEIRA venda=10041 calculado=800.00 ateTotal=750.00
[2026-09-18T18:22:35.053Z] INCONSISTÊNCIA FINANCEIRA venda=10042 calculado=1911.10 ateTotal=3010.00
[2026-09-18T18:22:35.057Z] INCONSISTÊNCIA NOS ITENS venda=10042 calculado=1911.10 itemTotalGeral=3010.00
[2026-09-18T18:22:35.125Z] INCONSISTÊNCIA FINANCEIRA venda=10043 calculado=321.60 ateTotal=1920.00
[2026-09-18T18:22:35.617Z] INCONSISTÊNCIA FINANCEIRA venda=10051 calculado=201.40 ateTotal=1600.00
[2026-09-18T18:22:35.617Z] INCONSISTÊNCIA NOS ITENS venda=10051 calculado=201.40 itemTotalGeral=381.22
[2026-09-18T18:22:36.710Z] INCONSISTÊNCIA FINANCEIRA venda=10072 calculado=480.00 ateTotal=400.00
[2026-09-18T18:22:36.780Z] INCONSISTÊNCIA FINANCEIRA venda=10073 calculado=291.50 ateTotal=1300.00
[2026-09-18T18:22:36.850Z] INCONSISTÊNCIA FINANCEIRA venda=10074 calculado=1.30 ateTotal=1280.00
[2026-09-18T18:22:36.917Z] INCONSISTÊNCIA FINANCEIRA venda=10075 calculado=940.00 ateTotal=700.00
[2026-09-18T18:22:37.057Z] INCONSISTÊNCIA FINANCEIRA venda=10077 calculado=990.00 ateTotal=900.00
[2026-09-18T18:22:37.125Z] INCONSISTÊNCIA FINANCEIRA venda=10078 calculado=751.30 ateTotal=1630.00
[2026-09-18T18:22:37.196Z] INCONSISTÊNCIA FINANCEIRA venda=10079 calculado=320.00 ateTotal=200.00
[2026-09-18T18:22:37.265Z] INCONSISTÊNCIA FINANCEIRA venda=10080 calculado=830.00 ateTotal=700.00
[2026-09-18T18:22:37.338Z] INCONSISTÊNCIA FINANCEIRA venda=10081 calculado=640.00 ateTotal=500.00
[2026-09-18T18:22:37.408Z] INCONSISTÊNCIA FINANCEIRA venda=10082 calculado=351.30 ateTotal=1300.00
[2026-09-18T18:22:37.477Z] INCONSISTÊNCIA FINANCEIRA venda=10083 calculado=620.00 ateTotal=500.00
[2026-09-18T18:22:37.619Z] INCONSISTÊNCIA FINANCEIRA venda=10085 calculado=650.00 ateTotal=400.00
[2026-09-18T18:22:37.693Z] INCONSISTÊNCIA FINANCEIRA venda=10086 calculado=900.00 ateTotal=800.00
[2026-09-18T18:22:37.762Z] INCONSISTÊNCIA FINANCEIRA venda=10087 calculado=630.00 ateTotal=500.00
[2026-09-18T18:22:37.830Z] INCONSISTÊNCIA FINANCEIRA venda=10088 calculado=880.00 ateTotal=840.00
[2026-09-18T18:22:37.899Z] INCONSISTÊNCIA FINANCEIRA venda=10090 calculado=930.00 ateTotal=900.00
[2026-09-18T18:22:38.037Z] INCONSISTÊNCIA FINANCEIRA venda=10092 calculado=720.00 ateTotal=700.00
[2026-09-18T18:22:38.178Z] INCONSISTÊNCIA FINANCEIRA venda=10094 calculado=332.02 ateTotal=2120.00
[2026-09-18T18:22:38.252Z] INCONSISTÊNCIA FINANCEIRA venda=10095 calculado=990.00 ateTotal=960.00
[2026-09-18T18:22:38.322Z] INCONSISTÊNCIA FINANCEIRA venda=10096 calculado=500.00 ateTotal=370.00
[2026-09-18T18:22:38.466Z] INCONSISTÊNCIA FINANCEIRA venda=10098 calculado=860.00 ateTotal=800.00
[2026-09-18T18:22:38.538Z] INCONSISTÊNCIA FINANCEIRA venda=10099 calculado=914.00 ateTotal=910.00
[2026-09-18T18:22:38.616Z] INCONSISTÊNCIA FINANCEIRA venda=10100 calculado=1946.00 ateTotal=1680.00
[2026-09-18T18:22:38.688Z] INCONSISTÊNCIA FINANCEIRA venda=10101 calculado=550.00 ateTotal=500.00
[2026-09-18T18:22:38.759Z] INCONSISTÊNCIA FINANCEIRA venda=10102 calculado=540.00 ateTotal=300.00
[2026-09-18T18:22:38.831Z] INCONSISTÊNCIA FINANCEIRA venda=10103 calculado=1170.00 ateTotal=990.00
[2026-09-18T18:22:38.970Z] INCONSISTÊNCIA FINANCEIRA venda=10105 calculado=840.00 ateTotal=800.00
[2026-09-18T18:22:39.041Z] INCONSISTÊNCIA FINANCEIRA venda=10106 calculado=830.00 ateTotal=825.00
[2026-09-18T18:22:39.113Z] INCONSISTÊNCIA FINANCEIRA venda=10107 calculado=431.52 ateTotal=1680.00
[2026-09-18T18:22:39.186Z] INCONSISTÊNCIA FINANCEIRA venda=10108 calculado=1151.52 ateTotal=2410.00
[2026-09-18T18:22:39.253Z] INCONSISTÊNCIA FINANCEIRA venda=10109 calculado=2260.00 ateTotal=1530.00
[2026-09-18T18:22:39.558Z] INCONSISTÊNCIA FINANCEIRA venda=10110 calculado=1596.00 ateTotal=1200.00
[2026-09-18T18:22:39.771Z] INCONSISTÊNCIA FINANCEIRA venda=10113 calculado=780.00 ateTotal=720.00
[2026-09-18T18:22:39.909Z] INCONSISTÊNCIA FINANCEIRA venda=10115 calculado=700.00 ateTotal=600.00
