old_id,new_id,status,old_name,new_name
1,335,EXISTING,Sem Marca,SEM MARCA
2,2,EXISTING,JEAN MONIER,JEAN MONIER
3,334,EXISTING,JEAN PIERRE,JEAN PIERRE
4,4,EXISTING,PLATINI,PLATINI
5,5,EXISTING,COROLLA,COROLLA
6,6,EXISTING,OPTIMAX,OPTIMAX
7,7,EXISTING,BURGUESE,BURGUESE
8,8,EXISTING,MAXLINE,MAXLINE
9,9,EXISTING,PIERRE CARDIN,PIERRE CARDIN
10,10,EXISTING,FOX,FOX
11,11,EXISTING,IMOLA,IMOLA
12,12,EXISTING,LAVORATO,LAVORATO
13,13,EXISTING,PROSOL,PROSOL
14,14,EXISTING,TECNOL,TECNOL
15,15,EXISTING,ASOLO,ASOLO
16,222,EXISTING,VISARD,VISARD
17,17,EXISTING,EXPRESS,EXPRESS
18,18,EXISTING,INTELECTUM,INTELECTUM
20,20,EXISTING,LIZEA,LIZEA
21,21,EXISTING,AUGEN,AUGEN
22,22,EXISTING,HAGNUS,HAGNUS
23,23,EXISTING,FLEX,FLEX
24,24,EXISTING,DIOCULOS,DIOCULOS
25,25,EXISTING,KAVALEIROS,KAVALEIROS
26,26,EXISTING,COPACABANAS,COPACABANAS
27,27,EXISTING,PLAY BOY,PLAY BOY
28,28,EXISTING,LEVERT,LEVERT
29,29,EXISTING,LUCIANA GIMENES,LUCIANA GIMENES
30,30,EXISTING,X-TREME,X-TREME
31,31,EXISTING,TIGRÃO,TIGRÃO
32,32,EXISTING,PRINCESA,PRINCESA
33,33,EXISTING,LOUGGE,LOUGGE
34,34,EXISTING,DA VINCI,DA VINCI
35,35,EXISTING,HESS,HESS
36,36,EXISTING,CLASSICA,CLASSICA
37,37,EXISTING,DETROIT,DETROIT
38,38,EXISTING,GRAZI,GRAZI
39,39,EXISTING,VOGUE,VOGUE
40,40,EXISTING,KEYPER,KEYPER
41,41,EXISTING,RAY BAN,RAY BAN
42,42,EXISTING,K&L,K&L
43,43,EXISTING,TURMA DA MONICA,TURMA DA MONICA
51,51,EXISTING,HOYA,HOYA
60,60,EXISTING,ESSILOR,ESSILOR
63,63,EXISTING,ZEISS,ZEISS
64,64,EXISTING,SOLA,SOLA
67,,CREATED,GUGA KUERTEN,GUGA KUERTEN
68,68,EXISTING,DI VIALLE,DI VIALLE
71,71,EXISTING,ALAN GARRAUD,ALAN GARRAUD
72,72,EXISTING,LEMUD,LEMUD
73,73,EXISTING,KRISTAL,KRISTAL
74,74,EXISTING,PAOLA PIOVANI,PAOLA PIOVANI
75,75,EXISTING,SUN WAY,SUN WAY
76,76,EXISTING,OASIS,OASIS
79,79,EXISTING,PEREGO,PEREGO
80,80,EXISTING,OPHBRAS,OPHBRAS
81,,CREATED,ESSLOR DESATIVADA,ESSLOR DESATIVADA
82,82,EXISTING,BERINE,BERINE
83,83,EXISTING,OPTVIW,OPTVIW
84,84,EXISTING,TRATAMENTOS,TRATAMENTOS
85,85,EXISTING,SIGNUS,SIGNUS
86,86,EXISTING,MASTER GLASS,MASTER GLASS
87,87,EXISTING,POPULAR,POPULAR
88,88,EXISTING,HAYTEK,HAYTEK
89,89,EXISTING,VISCO,VISCO
90,90,EXISTING,CESAR CIELO,CESAR CIELO
92,,CREATED,SALDO ANTERIOR,SALDO ANTERIOR
93,93,EXISTING,EGLANCE,EGLANCE
94,94,EXISTING,ARNETTE,ARNETTE
95,95,EXISTING,D'VISION,D'VISION
96,96,EXISTING,SCUDO,SCUDO
97,97,EXISTING,PRONTO,PRONTO
98,,CREATED,BERINE SEM PRODUTO,BERINE SEM PRODUTO
99,99,EXISTING,KEEPER,KEEPER
100,100,EXISTING,DI VITTORE,DI VITTORE
101,101,EXISTING,RENOMA,RENOMA
102,102,EXISTING,TOP LINE,TOP LINE
103,103,EXISTING,SOLOTICA,SOLOTICA
104,,CREATED,CORRIGIR,CORRIGIR
105,105,EXISTING,VEJA BEM MEU BEM,VEJA BEM MEU BEM
106,106,EXISTING,LABO OPTICA,LABO OPTICA
108,,CREATED,PROMOÇÃO,PROMOÇÃO
109,,CREATED,CORRIGIR,CORRIGIR
110,110,EXISTING,TEC LAB,TEC LAB
111,111,EXISTING,VIP OPTIC,VIP OPTIC
112,112,EXISTING,BERINE SP,BERINE SP
113,113,EXISTING,GIRO,GIRO
114,114,EXISTING,MARESIA,MARESIA
115,115,EXISTING,VIZZANO,VIZZANO
116,116,EXISTING,VIP GOLD,VIP GOLD
117,117,EXISTING,BURGET,BURGET
118,118,EXISTING,YNOT,YNOT
119,119,EXISTING,BRASIL LENTES,BRASIL LENTES
120,120,EXISTING,OPTO PHARMA,OPTO PHARMA
121,121,EXISTING,GIRO COPS,GIRO COPS
122,,CREATED,CENTRAL DIST,CENTRAL DIST
123,123,EXISTING,KEEPER BRASIL,KEEPER BRASIL
124,124,EXISTING,SPELLBOUND,SPELLBOUND
125,,CREATED,VISIONMAX LABO,VISIONMAX LABO
126,126,EXISTING,VICTOR LORENZO,VICTOR LORENZO
127,,CREATED,RENEGOCIAÇÃO,RENEGOCIAÇÃO
128,128,EXISTING,OPTI PRIME,OPTI PRIME
129,129,EXISTING,PRO EASY,PRO EASY
130,130,EXISTING,FIAMMA,FIAMMA
131,131,EXISTING,URBAN,URBAN
132,132,EXISTING,BRASIL OCULAR,BRASIL OCULAR
133,133,EXISTING,GOLD LIFE,GOLD LIFE
134,,CREATED,SANTOS DIST,SANTOS DIST
135,135,EXISTING,PERSONAL,PERSONAL
136,136,EXISTING,SOLAB,SOLAB
137,137,EXISTING,OK,OK
138,,CREATED,SOLAB DESATIVADA,SOLAB DESATIVADA
139,139,EXISTING,OBEN,OBEN
140,140,EXISTING,AUGE,AUGE
141,141,EXISTING,VISEL,VISEL
142,142,EXISTING,FRESHLOOK,FRESHLOOK
143,143,EXISTING,COPS,COPS
144,144,EXISTING,DI MARELLA,DI MARELLA
145,145,EXISTING,VLS SPORT,VLS SPORT
146,146,EXISTING,K2,K2
147,,CREATED,SAULO DIST,SAULO DIST
148,148,EXISTING,PAULO CARRARO,PAULO CARRARO
149,149,EXISTING,VALENTINA GUERRA,VALENTINA GUERRA
150,150,EXISTING,CARMEN VITTI,CARMEN VITTI
151,151,EXISTING,ROMANO,ROMANO
152,,CREATED,GOLD VIEW DIST,GOLD VIEW DIST
153,153,EXISTING,DIST DIGITAL,DIST DIGITAL
154,154,EXISTING,ECKO UNLTD,ECKO UNLTD
155,155,EXISTING,VERTZ,VERTZ
156,156,EXISTING,DIST 2A OPTICOS,DIST 2A OPTICOS
157,157,EXISTING,POWER,POWER
158,158,EXISTING,TOP CLUB,TOP CLUB
159,,CREATED,PRÓPIA,PRÓPIA
160,161,EXISTING,DIST LOHAN,DIST LOHAN
161,,CREATED,LOHAN DIST,LOHAN DIST
162,,CREATED,SERVIOPTICA DIST,SERVIOPTICA DIST
163,,CREATED,CRISTOVAM DIST,CRISTOVAM DIST
164,164,EXISTING,DEBORAH SECCO,DEBORAH SECCO
