old_id,new_id,status,old_name,new_name,brand_old_id,brand_new_id,category
1,944,CREATED,Produto Indisponivel,Produto Indisponivel,1,335,ACCESSORY
8,8,EXISTING,ARMAÇÃO NYLON,ARMAÇÃO NYLON,5,5,FRAME
10,10,EXISTING,ARMAÇÃO BALGRIF,ARMAÇÃO BALGRIF,21,21,FRAME
18,18,EXISTING,OCULOS SOLAR PROSOL,OCULOS SOLAR PROSOL,13,13,FRAME
19,19,EXISTING,OCULOS SOLAR PIERRE CARDIN,OCULOS SOLAR PIERRE CARDIN,9,9,FRAME
21,21,EXISTING,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,38,38,FRAME
23,945,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,67,337,FRAME
24,946,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,2,2,FRAME
26,947,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,68,68,FRAME
27,27,EXISTING,SOLAR MAXLINE,SOLAR MAXLINE,8,8,FRAME
28,948,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,4,4,FRAME
30,949,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,71,71,FRAME
31,31,EXISTING,OCULOS SOLAR LEMUD,OCULOS SOLAR LEMUD,72,72,FRAME
32,32,EXISTING,OCULOS SOLAR KRISTAL,OCULOS SOLAR KRISTAL,73,73,FRAME
33,33,EXISTING,SOLAR COROLLA,SOLAR COROLLA,5,5,FRAME
34,950,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,74,74,FRAME
35,951,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,75,75,FRAME
36,952,CREATED,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,76,76,FRAME
37,948,EXISTING,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,4,4,FRAME
40,40,EXISTING,LENTE P VIP/INC,LENTE P VIP/INC,64,64,LENS
41,41,EXISTING,LENTE P GT21.67/AR-MAR,LENTE P GT21.67/AR-MAR,63,63,LENS
42,42,EXISTING,LENTE P 1.50 ESPACE / INC.,LENTE P 1.50 ESPACE / INC.,60,60,LENS
43,43,EXISTING,LENTE P 1.50 ESPACE/TRANST,LENTE P 1.50 ESPACE/TRANST,60,60,LENS
44,953,CREATED,LENTE ARGOS 1.50 INC.,LENTE ARGOS 1.50 INC.,51,51,LENS
45,954,CREATED,LENTE ARGOS 1.50 AR CX,LENTE ARGOS 1.50 AR CX,51,51,LENS
47,47,EXISTING,LENTE GT2 PHOTOFUSION,LENTE GT2 PHOTOFUSION,63,63,LENS
48,48,EXISTING,LENTE P GT2/INC,LENTE P GT2/INC,63,63,LENS
49,49,EXISTING,LENTE P 1.50 ESPACE / AR,LENTE P 1.50 ESPACE / AR,60,60,LENS
50,50,EXISTING,LENTE P VIP/TRANST,LENTE P VIP/TRANST,64,64,LENS
51,51,EXISTING,LENTE P VIP/AR,LENTE P VIP/AR,64,64,LENS
54,54,EXISTING,LENTE P VARILUX LIB/INC,LENTE P VARILUX LIB/INC,60,60,LENS
55,55,EXISTING,LENTE P VARILUX LIB/CZ,LENTE P VARILUX LIB/CZ,60,60,LENS
56,56,EXISTING,VARILUX LIBERTY360 TRAN/CZ SAPPHIPE,VARILUX LIBERTY360 TRAN/CZ SAPPHIPE,60,60,LENS
57,57,EXISTING,LENTE VARILUX CONFORT MAX INC,LENTE VARILUX CONFORT MAX INC,60,60,LENS
58,58,EXISTING,VARILUX COMFORT MAX CZ SAPPHIRE,VARILUX COMFORT MAX CZ SAPPHIRE,60,60,LENS
59,59,EXISTING,LENTE P VARILUX CONF.TRAN/CZ,LENTE P VARILUX CONF.TRAN/CZ,60,60,LENS
60,60,EXISTING,LENTE Z FORA DE LINHA,LENTE Z FORA DE LINHA,128,128,LENS
70,955,CREATED,LENTE PR1.50 ARGOS TRANSIT,LENTE PR1.50 ARGOS TRANSIT,51,51,LENS
71,955,EXISTING,LENTE PR1.50 ARGOS TRANSIT,LENTE PR1.50 ARGOS TRANSIT,51,51,LENS
72,72,EXISTING,LENTE P NOLINE INC,LENTE P NOLINE INC,60,60,LENS
73,73,EXISTING,LENTE P NOLINE TRANS,LENTE P NOLINE TRANS,60,60,LENS
74,74,EXISTING,LENTE P 1.50 ESPACE TRAN/AR,LENTE P 1.50 ESPACE TRAN/AR,60,60,LENS
75,75,EXISTING,LENTE P 1.50 ESPACE TRANS VII/AR,LENTE P 1.50 ESPACE TRANS VII/AR,60,60,LENS
76,956,CREATED,LENTE PR1.50 ARGOS TF INC.,LENTE PR1.50 ARGOS TF INC.,51,51,LENS
77,77,EXISTING,ARMAÇÃO PLATINI,ARMAÇÃO PLATINI,4,4,FRAME
78,948,EXISTING,SOLAR Z FORA DE LINHA,SOLAR Z FORA DE LINHA,4,4,FRAME
79,957,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,4,4,FRAME
80,958,CREATED,ARMAÇÃO Z FORA DE LINHA,ARMAÇÃO Z FORA DE LINHA,4,4,FRAME
81,959,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,27,27,FRAME
83,960,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,32,32,FRAME
84,961,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,13,13,FRAME
85,962,CREATED,ARMAÇÃO Z FORA DE LINHA,ARMAÇÃO Z FORA DE LINHA,41,41,FRAME
86,86,EXISTING,ARMAÇÃO RAY BAN,ARMAÇÃO RAY BAN,41,41,FRAME
87,962,EXISTING,ARMAÇÃO Z FORA DE LINHA,ARMAÇÃO Z FORA DE LINHA,41,41,FRAME
88,963,CREATED,ARMAÇÃO TECNOL,ARMAÇÃO TECNOL,14,14,FRAME
89,964,CREATED,ARMAÇÃO ACETATO,ARMAÇÃO ACETATO,14,14,FRAME
90,965,CREATED,ARMAÇÃO INFANTIL DIVERSAS,ARMAÇÃO INFANTIL DIVERSAS,31,31,FRAME
91,966,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,31,31,FRAME
92,967,CREATED,ARMAÇÃO ACETATO,ARMAÇÃO ACETATO,43,43,FRAME
93,968,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,43,43,FRAME
94,969,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,16,222,FRAME
95,95,EXISTING,ARMAÇÃO VOGUE,ARMAÇÃO VOGUE,39,39,FRAME
96,970,CREATED,ARMAÇÃO NYLON,ARMAÇÃO NYLON,30,30,FRAME
97,97,EXISTING,ARMAÇÃO NYLON FL,ARMAÇÃO NYLON FL,9,9,FRAME
98,98,EXISTING,ARMAÇÃO PIERRE CARDIN,ARMAÇÃO PIERRE CARDIN,9,9,FRAME
