desFinanceiro,desStatus,desDataPagamento
102,PAGA,05-Jan-17
103,PAGA,10-Jan-17
104,PAGA,03-Jan-17
105,PAGA,16-Jan-17
280,PAGA,17-Apr-17
281,PAGA,06-Apr-17
282,PAGA,10-Apr-17
283,PAGA,10-Apr-17
284,PAGA,10-Apr-17
285,PAGA,17-Apr-17
286,PAGA,17-Apr-17
287,PAGA,02-Mar-17
288,PAGA,02-Mar-17
289,PAGA,06-Mar-17
290,PAGA,06-Mar-17
291,PAGA,10-Mar-17
292,PAGA,13-Mar-17
293,PAGA,15-Mar-17
294,PAGA,16-Mar-17
295,PAGA,20-Mar-17
296,PAGA,20-Mar-17
297,PAGA,27-Mar-17
298,PAGA,31-Mar-17
299,PAGA,31-Jan-17
300,PAGA,06-Feb-17
301,PAGA,07-Feb-17
302,PAGA,10-Feb-17
303,PAGA,15-Feb-17
304,PAGA,20-Feb-17
305,PAGA,20-Feb-17
306,PAGA,20-Feb-17
307,PAGA,02-Jan-17
308,PAGA,02-Jan-17
309,PAGA,02-Jan-17
310,PAGA,03-Jan-17
311,PAGA,05-Jan-17
312,PAGA,10-Jan-17
313,PAGA,16-Jan-17
315,PAGA,17-Jan-17
316,PAGA,20-Jan-17
317,PAGA,20-Jan-17
318,PAGA,23-Jan-17
319,PAGA,31-Jan-17
320,PAGA,17-Apr-17
325,PAGA,20-Apr-17
326,PAGA,20-Apr-17
329,PAGA,24-Apr-17
330,PAGA,25-Apr-17
331,PAGA,25-Apr-17
341,PAGA,02-May-17
342,PAGA,03-May-17
343,PAGA,05-May-17
358,PAGA,08-May-17
362,PAGA,09-May-17
368,PAGA,10-May-17
374,PAGA,15-May-17
379,PAGA,15-May-17
383,PAGA,16-May-17
394,PAGA,22-May-17
395,PAGA,22-May-17
401,PAGA,25-May-17
405,PAGA,30-May-17
413,PAGA,01-Jun-17
417,PAGA,05-Jun-17
418,PAGA,05-Jun-17
428,PAGA,07-Jun-17
439,PAGA,08-Jun-17
450,PAGA,12-Jun-17
451,PAGA,13-Jun-17
455,PAGA,13-Jun-17
463,PAGA,15-Jun-17
464,PAGA,16-Jun-17
465,PAGA,19-Jun-17
467,PAGA,20-Jun-17
468,PAGA,20-Jun-17
480,PAGA,30-Jun-17
496,PAGA,03-Jul-17
497,PAGA,03-Jul-17
498,PAGA,04-Jul-17
502,PAGA,05-Jul-17
512,PAGA,06-Jul-17
513,PAGA,06-Jul-17
514,PAGA,10-Jul-17
515,PAGA,10-Jul-17
523,PAGA,12-Jul-17
533,PAGA,13-Jul-17
534,PAGA,17-Jul-17
535,PAGA,17-Jul-17
546,PAGA,20-Jul-17
547,PAGA,20-Jul-17
548,PAGA,21-Jul-17
549,PAGA,21-Jul-17
559,PAGA,13-Jul-17
560,PAGA,25-Jul-17
561,PAGA,10-Jul-17
568,PAGA,31-Jul-17
570,PAGA,01-Aug-17
577,PAGA,03-Aug-17
586,PAGA,07-Aug-17
587,PAGA,07-Aug-17
588,PAGA,07-Aug-17
589,PAGA,10-Aug-17
590,PAGA,09-Aug-17
602,PAGA,16-Aug-17
612,PAGA,21-Aug-17
613,PAGA,21-Aug-17
614,PAGA,21-Aug-17
615,PAGA,21-Aug-17
616,PAGA,21-Aug-17
648,PAGA,28-Aug-17
649,PAGA,28-Aug-17
650,PAGA,24-Aug-17
673,PAGA,11-Sep-17
674,PAGA,11-Sep-17
675,PAGA,11-Sep-17
676,PAGA,11-Sep-17
677,PAGA,04-Sep-17
678,PAGA,04-Sep-17
679,PAGA,05-Sep-17
680,PAGA,06-Sep-17
681,PAGA,06-Sep-17
699,PAGA,
712,PAGA,18-Sep-17
720,PAGA,15-Sep-17
735,PAGA,19-Sep-17
736,PAGA,20-Sep-17
737,PAGA,20-Sep-17
738,PAGA,20-Sep-17
739,PAGA,25-Sep-17
740,PAGA,25-Sep-17
741,PAGA,21-Sep-17
754,PAGA,02-Oct-17
759,PAGA,05-Oct-17
760,PAGA,06-Oct-17
761,PAGA,09-Oct-17
762,PAGA,09-Oct-17
763,PAGA,09-Oct-17
772,PAGA,10-Oct-17
773,PAGA,10-Oct-17
777,PAGA,16-Oct-17
779,PAGA,16-Oct-17
780,PAGA,16-Oct-17
807,PAGA,20-Oct-17
808,PAGA,20-Oct-17
809,PAGA,20-Oct-17
810,PAGA,23-Oct-17
812,PAGA,24-Oct-17
813,PAGA,24-Oct-17
814,PAGA,25-Oct-17
815,PAGA,30-Oct-17
816,PAGA,30-Oct-17
817,PAGA,30-Oct-17
822,PAGA,31-Oct-17
848,PAGA,03-Nov-17
849,PAGA,06-Nov-17
850,PAGA,06-Nov-17
851,PAGA,06-Nov-17
852,PAGA,08-Nov-17
853,PAGA,10-Nov-17
854,PAGA,10-Nov-17
859,PAGA,06-Nov-17
869,PAGA,16-Nov-17
870,PAGA,16-Nov-17
880,PAGA,20-Nov-17
881,PAGA,20-Nov-17
882,PAGA,20-Nov-17
883,PAGA,20-Nov-17
888,PAGA,22-Nov-17
889,PAGA,24-Nov-17
906,PAGA,27-Nov-17
907,PAGA,28-Nov-17
908,PAGA,01-Dec-17
909,PAGA,04-Dec-17
910,PAGA,04-Dec-17
911,PAGA,05-Dec-17
912,PAGA,11-Dec-17
913,PAGA,11-Dec-17
914,PAGA,11-Dec-17
915,PAGA,11-Dec-17
916,PAGA,11-Dec-17
917,PAGA,11-Dec-17
939,PAGA,15-Dec-17
940,PAGA,18-Dec-17
941,PAGA,19-Dec-17
942,PAGA,20-Dec-17
943,PAGA,20-Dec-17
944,PAGA,20-Dec-17
945,PAGA,22-Dec-17
961,PAGA,26-Dec-17
980,PAGA,02-Jan-18
981,PAGA,02-Jan-18
982,PAGA,04-Jan-18
994,PAGA,05-Jan-18
995,PAGA,08-Jan-18
996,PAGA,08-Jan-18
997,PAGA,10-Jan-18
1009,PAGA,15-Jan-18
1010,PAGA,15-Jan-18
1011,PAGA,15-Jan-18
1012,PAGA,15-Jan-18
1031,PAGA,19-Jan-18
1032,PAGA,19-Jan-18
1041,PAGA,22-Jan-18
1047,PAGA,23-Jan-18
1054,PAGA,25-Jan-18
1056,PAGA,29-Jan-18
1057,PAGA,30-Jan-18
1058,PAGA,30-Jan-18
1070,PAGA,01-Feb-18
1074,PAGA,05-Feb-18
1075,PAGA,05-Feb-18
1091,PAGA,09-Feb-18
1107,PAGA,14-Feb-18
1108,PAGA,14-Feb-18
1109,PAGA,14-Feb-18
1110,PAGA,14-Feb-18
1111,PAGA,14-Feb-18
1112,PAGA,15-Feb-18
1117,PAGA,19-Feb-18
1118,PAGA,19-Feb-18
1119,PAGA,20-Feb-18
1120,PAGA,20-Feb-18
1126,PAGA,22-Feb-18
1138,PAGA,23-Feb-18
1139,PAGA,26-Feb-18
1140,PAGA,26-Feb-18
1141,PAGA,28-Feb-18
1151,PAGA,01-Mar-18
1154,PAGA,28-Feb-18
1156,PAGA,31-Jan-18
1158,PAGA,02-Mar-18
1159,PAGA,02-Mar-18
1160,PAGA,05-Mar-18
1161,PAGA,05-Mar-18
1162,PAGA,05-Mar-18
1184,PAGA,07-Mar-18
1193,PAGA,12-Mar-18
1194,PAGA,12-Mar-18
1195,PAGA,12-Mar-18
1196,PAGA,14-Mar-18
1197,PAGA,15-Mar-18
1198,PAGA,15-Mar-18
1199,PAGA,16-Mar-18
1223,PAGA,19-Mar-18
1224,PAGA,20-Mar-18
1225,PAGA,20-Mar-18
1226,PAGA,20-Mar-18
1227,PAGA,26-Mar-18
1228,PAGA,23-Mar-18
1229,PAGA,26-Mar-18
1259,PAGA,02-Apr-18
1260,PAGA,02-Apr-18
1261,PAGA,05-Apr-18
1262,PAGA,09-Apr-18
1263,PAGA,09-Apr-18
1264,PAGA,10-Apr-18
1265,PAGA,10-Apr-18
1266,PAGA,30-Mar-18
1267,PAGA,30-Mar-18
1279,PAGA,16-Apr-18
1280,PAGA,16-Apr-18
1281,PAGA,16-Apr-18
1287,PAGA,20-Apr-18
1288,PAGA,20-Apr-18
1290,PAGA,23-Apr-18
1300,PAGA,25-Apr-18
1301,PAGA,26-Apr-18
1325,PAGA,30-May-18
1326,PAGA,30-Apr-18
1327,PAGA,30-Apr-18
1328,PAGA,02-May-18
1329,PAGA,02-May-18
1332,PAGA,05-May-18
1333,PAGA,07-May-18
1334,PAGA,07-May-18
1335,PAGA,08-May-18
1381,PAGA,10-May-18
1382,PAGA,14-May-18
1383,PAGA,14-May-18
1384,PAGA,14-May-18
1385,PAGA,14-May-18
1386,PAGA,15-May-18
1387,PAGA,16-May-18
1388,PAGA,21-May-18
1389,PAGA,21-May-18
1390,PAGA,24-May-18
1391,PAGA,28-May-18
1392,PAGA,28-May-18
1393,PAGA,28-May-18
1394,PAGA,28-May-18
1395,PAGA,28-May-18
1396,PAGA,28-May-18
1397,PAGA,29-May-18
1427,PAGA,04-Jun-18
1428,PAGA,04-Jun-18
1429,PAGA,06-Jun-18
1433,PAGA,07-Jun-18
1434,PAGA,08-Jun-18
1451,PAGA,11-Jun-18
1452,PAGA,11-Jun-18
1455,PAGA,15-Jun-18
1461,PAGA,18-Jun-18
1471,PAGA,20-Jun-18
1472,PAGA,20-Jun-18
1473,PAGA,22-Jun-18
1474,PAGA,25-Jun-18
1475,PAGA,25-Jun-18
1476,PAGA,25-Jun-18
1477,PAGA,25-Jun-18
1485,PAGA,25-Jun-18
1489,PAGA,26-Jun-18
1490,PAGA,27-Jul-18
1491,PAGA,27-Jun-18
1492,PAGA,28-Jun-18
1493,PAGA,29-Jun-18
1494,PAGA,02-Jul-18
1536,PAGA,03-Jul-18
1537,PAGA,04-Jul-18
1538,PAGA,09-Jul-18
1539,PAGA,09-Jul-18
1540,PAGA,10-Jul-18
1541,PAGA,16-Jul-18
1553,PAGA,20-Jul-18
1554,PAGA,20-Jul-18
1566,PAGA,05-Jul-18
1567,PAGA,23-Jul-18
1568,PAGA,23-Jul-18
1569,PAGA,23-Jul-18
1570,PAGA,24-Jul-18
1571,PAGA,29-Jun-18
1576,PAGA,26-Jul-18
1577,PAGA,27-Jul-18
1578,PAGA,27-Jul-18
1583,PAGA,30-Jul-18
1584,PAGA,30-Jul-18
1593,PAGA,02-Aug-18
1610,PAGA,06-Aug-18
1611,PAGA,06-Aug-18
1612,PAGA,06-Aug-18
1613,PAGA,06-Aug-18
1614,PAGA,09-Aug-18
1615,PAGA,25-Jul-18
1616,PAGA,25-Aug-18
1617,PAGA,10-Aug-18
1635,PAGA,30-Aug-18
1636,PAGA,13-Aug-18
1637,PAGA,13-Aug-18
1640,PAGA,17-Aug-18
1641,PAGA,15-Aug-18
1644,PAGA,20-Aug-18
1645,PAGA,20-Aug-18
1646,PAGA,20-Aug-18
1647,PAGA,20-Aug-18
1648,PAGA,22-Aug-18
1654,PAGA,27-Aug-18
1655,PAGA,27-Aug-18
1656,PAGA,27-Aug-18
1674,PAGA,28-Aug-18
1675,PAGA,28-Aug-18
1684,PAGA,31-Aug-18
1685,PAGA,28-Aug-18
1686,PAGA,31-Aug-18
1687,PAGA,03-Sep-18
1688,PAGA,03-Sep-18
1689,PAGA,03-Sep-18
1691,PAGA,05-Sep-18
1703,PAGA,06-Sep-18
1704,PAGA,10-Sep-18
1705,PAGA,10-Sep-18
1706,PAGA,10-Sep-18
1712,PAGA,11-Sep-18
1729,PAGA,17-Sep-18
1730,PAGA,17-Sep-18
1731,PAGA,17-Sep-18
1732,PAGA,20-Sep-18
1733,PAGA,20-Sep-18
1736,PAGA,21-Sep-18
1737,PAGA,21-Sep-18
1746,PAGA,24-Sep-18
1747,PAGA,24-Sep-18
1748,PAGA,24-Sep-18
1759,PAGA,27-Sep-18
1762,PAGA,25-Sep-18
1763,PAGA,28-Sep-18
1771,PAGA,01-Oct-18
1772,PAGA,01-Oct-18
1773,PAGA,02-Oct-18
1774,PAGA,03-Oct-18
1776,PAGA,29-Sep-18
1777,PAGA,04-Oct-18
1778,PAGA,05-Oct-18
1781,PAGA,09-Oct-18
1782,PAGA,08-Oct-18
1783,PAGA,08-Oct-18
1784,PAGA,08-Oct-18
1785,PAGA,09-Oct-18
1796,PAGA,10-Oct-18
1797,PAGA,10-Oct-18
1798,PAGA,15-Oct-18
1799,PAGA,15-Oct-18
1800,PAGA,15-Oct-18
1801,PAGA,16-Oct-18
1833,PAGA,22-Oct-18
1834,PAGA,22-Oct-18
1835,PAGA,22-Oct-18
1836,PAGA,22-Oct-18
