recFinanceiro,recAtendimento,recParcelas,recDesconto,recJuros
1,10021,1,0,0
2,10021,1,0,0
3,10021,1,0,0
4,10021,1,0,0
8,10024,1,0,0
9,10024,1,0,0
10,10024,1,0,0
11,10024,1,0,0
12,10027,1,0,0
13,10027,1,0,0
14,10027,1,0,0
15,10027,1,0,0
16,10028,1,0,0
17,10028,1,0,0
18,10031,1,0,0
19,10031,1,0,0
20,10031,1,0,0
21,10031,1,0,0
22,10032,1,0,0
23,10032,1,0,0
24,10032,1,0,0
25,10033,1,0,0
26,10033,1,0,0
27,10033,1,0,0
28,10033,1,0,0
29,10033,1,0,0
30,10035,1,0,0
31,10036,1,0,0
32,10036,1,0,0
33,10036,1,0,0
34,10037,1,0,0
35,10037,1,0,0
36,10037,1,0,0
37,10038,1,0,0
38,10039,1,0,0
39,10040,1,0,0
40,10042,1,0,0
41,10043,1,0,0
42,10044,1,0,0
43,10045,1,0,0
44,10046,1,0,0
45,10047,1,0,0
46,10048,1,0,0
47,10049,1,0,0
48,10049,1,0,0
49,10049,1,0,0
50,10050,1,0,0
51,10051,1,0,0
52,10052,1,0,0
53,10054,1,"200,00",0
54,10055,1,0,0
55,10055,1,0,0
56,10056,1,0,0
57,10057,1,0,0
58,10058,6,0,0
59,10061,1,0,0
60,10062,1,0,0
61,10063,1,0,0
62,10064,1,0,0
64,10057,1,0,0
65,10067,1,0,0
66,10068,6,0,0
67,10069,4,0,0
68,10070,1,0,0
69,10071,1,0,0
70,10072,4,"80,00",0
71,10073,1,0,0
72,10074,1,0,0
73,10074,1,0,0
74,10074,1,0,0
75,10074,1,0,0
76,10061,1,0,0
77,10075,1,0,0
78,10076,1,0,0
79,10077,1,"90,00",0
80,10078,1,"420,00",0
81,10079,1,"120,00",0
82,10080,1,"130,00",0
83,10081,1,"140,00",0
84,10082,1,"350,00",0
85,10083,1,"120,00",0
86,10084,1,0,0
87,10086,1,"100,00",0
88,10087,1,"130,00",0
89,10088,6,"40,00",0
90,10085,1,0,0
91,10073,1,0,0
92,10074,1,0,0
93,10064,1,0,0
94,10041,1,0,0
95,10041,1,0,0
96,10041,1,0,0
97,10028,1,0,0
98,10028,1,0,0
99,10090,1,0,0
100,10090,1,0,0
101,10090,1,0,0
106,10092,1,0,0
107,10092,1,0,0
108,10092,1,0,0
109,10092,1,0,0
110,10093,1,0,0
111,10092,1,0,0
112,10094,1,0,0
113,10095,1,0,0
114,10095,1,0,"50,00"
115,10097,1,0,0
116,10098,1,0,0
117,10099,1,0,0
118,10099,1,0,0
119,10102,1,0,0
120,10102,1,0,0
121,10102,1,0,0
122,10103,1,0,0
123,10103,1,0,0
124,10103,1,0,0
125,10103,1,0,0
126,10103,1,0,0
127,10104,1,0,0
128,10105,1,0,0
129,10105,1,0,0
130,10105,1,0,0
131,10105,1,0,0
132,10105,1,0,0
133,10106,1,0,0
134,10106,1,0,0
135,10106,1,0,0
136,10106,1,0,0
137,10106,1,0,0
138,10107,1,0,0
139,10107,1,0,0
140,10107,1,0,0
141,10107,1,0,0
142,10108,1,0,0
143,10109,1,0,0
144,10110,1,0,0
145,10110,1,0,0
146,10110,1,0,0
147,10112,1,0,0
148,10113,1,0,0
149,10113,1,0,0
150,10113,1,0,0
151,10114,1,0,0
152,10114,1,0,"10,00"
153,10115,1,0,0
154,10115,1,0,0
155,10115,1,0,0
156,10115,1,0,0
157,10115,1,0,0
158,10115,1,0,0
160,10120,1,"360,00",0
161,10121,1,"510,00",0
162,10124,1,"200,00",0
163,10125,1,0,0
164,10126,1,0,0
165,10127,1,0,0
166,10129,1,0,0
167,10128,1,0,0
168,10128,1,0,0
169,10128,1,0,0
170,10128,1,0,0
171,10129,1,0,0
172,10129,1,0,0
173,10129,1,0,0
174,10129,1,0,0
175,10127,1,0,"30,00"
176,10130,1,0,0
177,10130,1,0,0
178,10130,1,0,0
179,10130,1,0,0
180,10131,1,0,0
181,10031,1,0,0
182,10134,1,0,0
183,10135,2,0,0
184,10136,1,0,0
185,10136,1,0,0
186,10136,1,0,0
187,10136,1,0,0
188,10137,1,0,0
189,10138,1,0,0
190,10138,1,0,0
191,10139,1,0,0
192,10139,1,0,0
193,10139,1,0,0
194,10139,1,0,0
195,10140,1,0,0
196,10141,1,0,0
197,10141,1,0,0
198,10141,1,0,0
199,10142,1,0,0
200,10142,1,0,0
201,10142,1,0,0
202,10143,1,0,0
203,10144,1,0,0
204,10144,1,0,0
205,10144,1,0,0
206,10145,1,0,0
207,10145,1,0,0
208,10145,1,0,0
209,10146,1,0,0
210,10146,1,0,0
211,10147,1,0,0
212,10147,1,0,0
213,10147,1,0,0
214,10147,1,0,0
215,10148,1,0,0
216,10149,1,0,0
217,10149,1,0,0
218,10149,1,0,0
219,10151,1,0,0
220,10151,1,0,0
221,10152,1,0,0
222,10153,1,0,0
223,10154,1,"270,00",0
224,10076,1,0,0
225,10046,1,0,0
226,10046,1,0,0
227,10066,1,0,0
228,10066,1,0,0
229,10063,1,0,0
230,10050,1,0,0
231,10052,1,0,0
232,10052,1,0,0
233,10061,1,0,0
234,10103,1,0,0
235,10032,1,0,0
236,10032,1,0,0
237,10032,1,0,0
238,10159,6,"180,00",0
239,10160,1,0,0
240,10161,1,0,0
241,10048,1,0,0
242,10048,1,0,0
243,10024,1,0,0
244,10128,1,0,0
245,10130,1,0,0
246,10119,1,0,0
247,10164,1,0,0
248,10064,1,0,0
249,10049,1,0,0
250,10085,1,0,0
251,10139,1,0,0
252,10046,1,0,0
253,10152,1,0,0
254,10166,1,0,0
255,10166,1,0,0
256,10099,1,0,0
257,10066,1,0,0
258,10113,1,0,0
259,10146,1,0,0
260,10157,1,0,0
261,10048,1,0,0
262,10126,1,0,0
263,10073,1,0,0
264,10167,1,0,0
265,10168,1,0,0
266,10168,1,0,0
267,10168,1,0,0
268,10168,1,0,0
269,10168,1,0,0
270,10153,1,0,0
271,10169,6,0,0
272,10171,1,"430,00",0
273,10172,5,"150,00",0
274,10173,1,0,0
275,10174,1,0,0
276,10175,1,0,0
277,10096,1,0,0
278,10132,1,0,0
279,10061,1,0,0
321,10170,1,0,0
322,10165,1,0,0
323,10125,1,0,0
324,10155,1,0,0
327,10176,1,0,0
328,10177,6,"80,00",0
332,10178,4,"270,00",0
333,10179,1,"100,00",0
334,10181,1,0,0
335,10160,1,0,0
336,10182,1,0,0
337,10183,5,"152,00",0
338,10185,1,"40,00",0
339,10186,3,0,0
343,10187,5,0,0
344,10166,1,0,0
345,10046,1,0,0
346,10119,1,0,0
347,10162,1,0,0
348,10126,1,0,0
349,10174,1,0,0
350,10139,1,0,0
351,10066,1,0,0
352,10101,1,0,0
353,10113,1,0,0
354,10164,1,0,0
355,10170,1,0,0
356,10073,1,0,0
359,10085,1,0,0
360,10146,1,0,0
361,10099,1,0,0
363,10047,1,0,0
364,10161,1,0,0
365,10158,1,0,0
366,10184,1,0,0
367,10152,1,0,0
369,10191,1,"320,00",0
370,10192,6,"460,00",0
371,10193,1,"70,00",0
372,10194,6,"430,00",0
373,10195,1,"370,00",0
375,10090,1,0,0
376,10090,1,0,0
377,10180,1,0,0
378,10196,6,"620,00",0
380,10155,1,0,0
381,10187,1,0,0
382,10197,4,0,0
384,10134,1,0,0
385,10134,1,0,0
386,10165,1,0,0
387,10136,1,0,0
388,10136,1,0,0
389,10198,1,0,0
390,10199,1,0,0
391,10201,1,0,0
392,10202,1,0,0
393,10203,1,"360,00",0
396,10162,1,0,0
397,10190,1,0,0
