finId,finData,finValor,finDescricao,finTipo,finBalanco
1,09-Mar-15,R$ 160.00,Pago com sucesso da parcela n° 1 do atendimento 10021,E,11
2,15-May-15,R$ 160.00,Pago com atraso da parcela n° 2 do atendimento 10021,E,44
3,08-Jun-15,R$ 160.00,Pago com atraso da parcela n° 3 do atendimento 10021,E,0
4,09-Oct-15,R$ 160.00,Pago com atraso da parcela n° 4 do atendimento 10021,E,5
7,02-Jan-17,R$ 300.00,Pagamento de entrada. Atendimento N° 10023,E,1
8,22-Sep-16,R$ 110.00,Pago com sucesso da parcela n° 1 do atendimento 10024,E,39
9,01-Nov-16,R$ 110.00,Pago com atraso da parcela n° 2 do atendimento 10024,E,5
10,02-Dec-16,R$ 110.00,Pago com atraso da parcela n° 3 do atendimento 10024,E,2
11,30-Dec-16,R$ 110.00,Pago com atraso da parcela n° 4 do atendimento 10024,E,2
12,03-Jun-16,R$ 160.00,Pagamento de entrada. Atendimento N° 10027,E,39
13,05-Jul-16,R$ 160.00,Pago com sucesso da parcela n° 1 do atendimento 10027,E,39
14,01-Sep-16,R$ 160.00,Pago com atraso da parcela n° 2 do atendimento 10027,E,39
15,05-Oct-16,R$ 160.00,Pago com atraso da parcela n° 3 do atendimento 10027,E,6
16,28-Jun-16,R$ 130.00,Pago com atraso da parcela n° 1 do atendimento 10028,E,39
17,05-Oct-16,R$ 130.00,Pago com atraso da parcela n° 2 do atendimento 10028,E,6
18,08-Mar-16,R$ 160.00,Pago com sucesso da parcela n° 1 do atendimento 10031,E,38
19,12-May-16,R$ 160.00,Pago com atraso da parcela n° 2 do atendimento 10031,E,39
20,03-Jun-16,R$ 160.00,Pago com atraso da parcela n° 3 do atendimento 10031,E,39
21,09-Aug-16,R$ 160.00,Pago com atraso da parcela n° 4 do atendimento 10031,E,39
22,10-Feb-15,R$ 200.00,Pago com atraso da parcela n° 1 do atendimento 10032,E,10
23,11-Mar-15,R$ 200.00,Pago com atraso da parcela n° 2 do atendimento 10032,E,11
24,11-Mar-15,R$ 200.00,Pago com atraso da parcela n° 3 do atendimento 10032,E,11
25,22-Oct-13,R$ 30.00,Pagamento de entrada. Atendimento N° 10033,E,85
26,04-Nov-13,R$ 100.00,Pago com sucesso da parcela n° 1 do atendimento 10033,E,84
27,12-Dec-13,R$ 100.00,Pago com atraso da parcela n° 2 do atendimento 10033,E,42
28,10-Jan-14,R$ 100.00,Pago com sucesso da parcela n° 3 do atendimento 10033,E,43
29,17-Feb-14,R$ 100.00,Pago com atraso da parcela n° 4 do atendimento 10033,E,0
30,24-Dec-15,R$ 884.00,Pagamento de entrada. Atendimento N° 10035,E,35
31,23-May-16,R$ 130.00,Pago com atraso da parcela n° 1 do atendimento 10036,E,39
32,10-Oct-16,R$ 130.00,Pago com atraso da parcela n° 2 do atendimento 10036,E,6
33,10-Jan-17,R$ 130.00,Pago com atraso da parcela n° 3 do atendimento 10036,E,1
34,26-Nov-14,R$ 170.00,Pagamento de entrada. Atendimento N° 10037,E,88
35,09-Jan-15,R$ 170.00,Pago com atraso da parcela n° 1 do atendimento 10037,E,33
36,06-Mar-15,R$ 170.00,Pago com atraso da parcela n° 2 do atendimento 10037,E,34
37,16-Jan-17,R$ 130.00,Pago com sucesso em dinheiro. Atendimento N° 10038,E,1
38,16-Jan-17,R$ 960.00,Pago com sucesso em dinheiro. Atendimento N° 10039,E,1
39,16-Jan-17,R$ 50.00,Pagamento de entrada. Atendimento N° 10040,E,1
40,31-Aug-15,"R$ 2,738.00",Pagamento de entrada. Atendimento N° 10042,E,91
41,05-Mar-15,"R$ 1,920.00",Pago com sucesso em dinheiro. Atendimento N° 10043,E,34
42,09-Aug-16,R$ 130.00,Pagamento de entrada. Atendimento N° 10044,E,39
43,14-Jun-16,"R$ 1,015.00",Pago com sucesso em dinheiro. Atendimento N° 10045,E,39
44,03-Jan-17,R$ 115.00,Pago com sucesso da parcela n° 1 do atendimento 10046,E,1
45,07-Jul-16,R$ 464.00,Pagamento de entrada. Atendimento N° 10047,E,39
46,27-May-16,R$ 650.00,Pagamento de entrada. Atendimento N° 10048,E,39
47,18-Jan-16,R$ 100.00,Pago com sucesso da parcela n° 1 do atendimento 10049,E,36
48,19-Apr-16,R$ 100.00,Pago com atraso da parcela n° 2 do atendimento 10049,E,39
49,19-Apr-16,R$ 100.00,Pago com atraso da parcela n° 3 do atendimento 10049,E,39
50,30-Oct-15,"R$ 1,000.00",Pagamento de entrada. Atendimento N° 10050,E,5
51,29-Oct-15,"R$ 1,000.00",Pagamento de entrada. Atendimento N° 10051,E,5
52,13-Jun-16,R$ 660.00,Pagamento de entrada. Atendimento N° 10052,E,39
53,01-Mar-16,R$ 800.00,Pago com sucesso em dinheiro. Atendimento N° 10054,E,38
54,02-Jun-14,"R$ 1,250.00",Pagamento de entrada. Atendimento N° 10055,E,40
55,13-Oct-14,"R$ 1,500.00",Pago com sucesso da parcela n° 1 do atendimento 10055,E,88
56,10-Jan-17,R$ 400.00,Pago com sucesso em dinheiro. Atendimento N° 10056,E,1
57,17-Jan-17,R$ 150.00,Pagamento de entrada. Atendimento N° 10057,E,1
58,18-Jan-17,R$ 660.00,Pago com sucesso no catão de crédito em 6 parcelas. Atendimento N° 10058,E,1
59,23-Jan-17,R$ 300.00,Pagamento de entrada. Atendimento N° 10061,E,1
60,25-Jan-17,R$ 120.00,Pagamento de entrada. Atendimento N° 10062,E,1
61,01-Feb-17,R$ 160.00,Pago com sucesso da parcela n° 1 do atendimento 10063,E,3
62,02-Feb-17,R$ 130.00,Pago com sucesso da parcela n° 1 do atendimento 10064,E,3
63,02-Feb-17,R$ 200.00,Pagamento de entrada. Atendimento N° 10065,E,3
64,02-Feb-17,R$ 160.00,Pago com atraso da parcela n° 1 do atendimento 10057,E,3
65,30-Jan-17,R$ 150.00,Pagamento de entrada. Atendimento N° 10067,E,1
66,04-Feb-17,R$ 960.00,Pago com sucesso no catão de crédito em 6 parcelas. Atendimento N° 10068,E,3
67,08-Feb-17,R$ 500.00,Pago com sucesso no catão de crédito em 4 parcelas. Atendimento N° 10069,E,3
68,08-Feb-17,R$ 560.00,Pago com sucesso no cartão de débito. Atendimento N° 10070,E,3
69,08-Feb-17,R$ 250.00,Pago com sucesso em dinheiro. Atendimento N° 10071,E,3
70,08-Feb-17,R$ 400.00,Pago com sucesso no catão de crédito em 4 parcelas. Atendimento N° 10072,E,3
71,03-Feb-17,R$ 200.00,Pagamento de entrada. Atendimento N° 10073,E,3
72,03-Oct-16,R$ 256.00,Pagamento de entrada. Atendimento N° 10074,E,6
73,21-Nov-16,R$ 256.00,Pago com atraso da parcela n° 1 do atendimento 10074,E,5
74,19-Dec-16,R$ 256.00,Pago com sucesso da parcela n° 2 do atendimento 10074,E,2
75,18-Jan-17,R$ 256.00,Pago com sucesso da parcela n° 3 do atendimento 10074,E,1
76,15-Feb-17,R$ 300.00,Pago com sucesso da parcela n° 1 do atendimento 10061,E,3
77,11-Feb-17,R$ 200.00,Pagamento de entrada. Atendimento N° 10075,E,3
78,15-Feb-17,R$ 140.00,Pagamento de entrada. Atendimento N° 10076,E,3
79,09-Feb-17,R$ 900.00,Pago com sucesso no catão de crédito em 1 parcelas. Atendimento N° 10077,E,3
80,09-Feb-17,"R$ 1,630.00",Pago com sucesso no catão de crédito em 1 parcelas. Atendimento N° 10078,E,3
81,10-Feb-17,R$ 200.00,Pago com sucesso no catão de crédito em 1 parcelas. Atendimento N° 10079,E,3
82,10-Feb-17,R$ 700.00,Pago com sucesso em dinheiro. Atendimento N° 10080,E,3
83,13-Feb-17,R$ 500.00,Pago com sucesso em dinheiro. Atendimento N° 10081,E,3
84,14-Feb-17,"R$ 1,300.00",Pago com sucesso no catão de crédito em 1 parcelas. Atendimento N° 10082,E,3
85,14-Feb-17,R$ 500.00,Pago com sucesso no catão de crédito em 1 parcelas. Atendimento N° 10083,E,3
86,16-Feb-17,R$ 250.00,Pago com sucesso em dinheiro. Atendimento N° 10084,E,3
87,07-Feb-17,R$ 800.00,Pago com sucesso em dinheiro. Atendimento N° 10086,E,3
88,04-Mar-17,R$ 500.00,Pago com sucesso no cartão de débito. Atendimento N° 10087,E,14
89,04-Mar-17,R$ 840.00,Pago com sucesso no catão de crédito em 6 parcelas. Atendimento N° 10088,E,14
90,01-Mar-17,R$ 100.00,Pago com sucesso da parcela n° 1 do atendimento 10085,E,14
91,04-Mar-17,R$ 220.00,Pago com atraso da parcela n° 1 do atendimento 10073,E,14
92,13-Feb-17,R$ 256.00,Pago com sucesso da parcela n° 4 do atendimento 10074,E,3
93,02-Feb-17,R$ 130.00,Pago com sucesso da parcela n° 2 do atendimento 10064,E,3
94,23-Feb-17,R$ 250.00,Pago com atraso da parcela n° 1 do atendimento 10041,E,3
95,22-Feb-17,R$ 250.00,Pago com atraso da parcela n° 2 do atendimento 10041,E,3
96,23-Feb-17,R$ 250.00,Pago com atraso da parcela n° 3 do atendimento 10041,E,3
97,03-Mar-17,R$ 130.00,Pago com atraso da parcela n° 3 do atendimento 10028,E,14
98,03-Feb-17,R$ 130.00,Pago com atraso da parcela n° 4 do atendimento 10028,E,3
99,06-Jan-17,R$ 150.00,Pago com atraso da parcela n° 1 do atendimento 10090,E,1
100,08-Feb-17,R$ 150.00,Pago com atraso da parcela n° 2 do atendimento 10090,E,3
101,08-Mar-17,R$ 150.00,Pago com atraso da parcela n° 3 do atendimento 10090,E,14
102,05-Jan-17,"R$ 1,400.00",ALUGUEL,S,1
103,10-Jan-17,R$ 490.00,CONTADOR,S,1
104,03-Jan-17,R$ 142.50,CONTA DE LUZ,S,1
105,15-Jan-17,R$ 103.80,CDL,S,1
106,16-Nov-16,R$ 300.00,Pagamento de entrada. Atendimento N° 10092,E,5
107,09-Dec-16,R$ 100.00,Pago com sucesso da parcela n° 1 do atendimento 10092,E,2
108,10-Jan-17,R$ 100.00,Pago com sucesso da parcela n° 2 do atendimento 10092,E,1
109,16-Feb-17,R$ 100.00,Pago com atraso da parcela n° 3 do atendimento 10092,E,3
110,14-Feb-17,R$ 450.00,Pago com sucesso em dinheiro. Atendimento N° 10093,E,3
111,09-Mar-17,R$ 100.00,Pago com sucesso da parcela n° 4 do atendimento 10092,E,14
112,26-May-14,"R$ 1,855.00",Pagamento de entrada. Atendimento N° 10094,E,44
113,27-Aug-15,R$ 660.00,Pagamento de entrada. Atendimento N° 10095,E,91
114,12-Jan-17,R$ 350.00,Pago com atraso da parcela n° 1 do atendimento 10095,E,1
115,02-Sep-14,R$ 600.00,Pagamento de entrada. Atendimento N° 10097,E,0
116,25-Apr-13,R$ 650.00,Pagamento de entrada. Atendimento N° 10098,E,0
117,05-Dec-16,R$ 350.00,Pagamento de entrada. Atendimento N° 10099,E,2
118,08-Mar-17,R$ 140.00,Pago com atraso da parcela n° 1 do atendimento 10099,E,14
119,21-Dec-16,R$ 100.00,Pago com sucesso da parcela n° 1 do atendimento 10102,E,2
120,26-Jan-17,R$ 100.00,Pago com atraso da parcela n° 2 do atendimento 10102,E,1
121,11-Feb-17,R$ 100.00,Pago com sucesso da parcela n° 3 do atendimento 10102,E,3
122,04-Oct-16,R$ 165.00,Pago com sucesso da parcela n° 1 do atendimento 10103,E,6
