carId,carAtendimento,carParcelas,carValorParcela,carVencimento,carNumeroParcela,carParcelaStatus,carDataPagamento
1,10021,6,R$ 160.00,10-Mar-15,1,Pago com sucesso,09-Mar-15
2,10021,6,R$ 160.00,10-Apr-15,2,Pago com atraso,15-May-15
3,10021,6,R$ 160.00,10-May-15,3,Pago com atraso,08-Jun-15
4,10021,6,R$ 160.00,10-Jun-15,4,Pago com atraso,09-Oct-15
5,10021,6,R$ 160.00,10-Jul-15,5,Vencida,
6,10021,6,R$ 160.00,10-Aug-15,6,Vencida,
18,10023,5,R$ 60.00,30-Jan-17,1,Aberta,
19,10023,5,R$ 60.00,28-Feb-17,2,Aberta,
20,10023,5,R$ 60.00,28-Mar-17,3,Aberta,
21,10023,5,R$ 60.00,28-Apr-17,4,Aberta,
22,10023,5,R$ 60.00,28-May-17,5,Aberta,
23,10023,5,R$ 60.00,30-Jan-17,1,Aberta,
24,10023,5,R$ 60.00,28-Feb-17,2,Aberta,
25,10023,5,R$ 60.00,28-Mar-17,3,Aberta,
26,10023,5,R$ 60.00,28-Apr-17,4,Aberta,
27,10023,5,R$ 60.00,28-May-17,5,Aberta,
28,10023,5,R$ 58.00,30-Jan-17,1,Aberta,
29,10023,5,R$ 58.00,28-Feb-17,2,Aberta,
30,10023,5,R$ 58.00,28-Mar-17,3,Aberta,
31,10023,5,R$ 58.00,28-Apr-17,4,Aberta,
32,10023,5,R$ 58.00,28-May-17,5,Aberta,
33,10023,5,R$ 58.00,30-Jan-17,1,Aberta,
34,10023,5,R$ 58.00,28-Feb-17,2,Aberta,
35,10023,5,R$ 58.00,28-Mar-17,3,Aberta,
36,10023,5,R$ 58.00,28-Apr-17,4,Aberta,
37,10023,5,R$ 58.00,28-May-17,5,Aberta,
38,10023,6,R$ 300.00,07-Feb-17,1,Aberta,
39,10023,6,R$ 300.00,07-Mar-17,2,Aberta,
40,10023,6,R$ 300.00,07-Apr-17,3,Aberta,
41,10023,6,R$ 300.00,07-May-17,4,Aberta,
42,10023,6,R$ 300.00,07-Jun-17,5,Aberta,
43,10023,6,R$ 300.00,07-Jul-17,6,Aberta,
44,10024,5,R$ 110.00,23-Sep-16,1,Pago com sucesso,22-Sep-16
45,10024,5,R$ 110.00,23-Oct-16,2,Pago com atraso,01-Nov-16
46,10024,5,R$ 110.00,23-Nov-16,3,Pago com atraso,02-Dec-16
47,10024,5,R$ 110.00,23-Dec-16,4,Pago com atraso,30-Dec-16
48,10024,5,R$ 110.00,23-Jan-17,5,Pago com atraso,24-Jan-17
49,10025,6,R$ 300.00,07-Feb-17,1,Pago com atraso,18-Sep-17
50,10025,6,R$ 300.00,07-Mar-17,2,Pago com atraso,18-Sep-17
51,10025,6,R$ 300.00,07-Apr-17,3,Pago com atraso,18-Sep-17
52,10025,6,R$ 300.00,07-May-17,4,Pago com atraso,15-Jan-18
53,10025,6,R$ 300.00,07-Jun-17,5,Pago com atraso,28-Jun-18
54,10025,6,R$ 300.00,07-Jul-17,6,Pago com atraso,28-Jun-18
55,10026,5,R$ 140.00,12-May-16,1,Pago com atraso,06-Mar-18
56,10026,5,R$ 140.00,12-Jun-16,2,Pago com atraso,06-Mar-18
57,10026,5,R$ 140.00,12-Jul-16,3,Pago com atraso,29-Oct-18
58,10026,5,R$ 140.00,12-Aug-16,4,Pago com atraso,29-Oct-18
59,10026,5,R$ 140.00,12-Sep-16,5,Pago com atraso,29-Oct-18
60,10027,4,R$ 160.00,05-Jul-16,1,Pago com sucesso,05-Jul-16
61,10027,4,R$ 160.00,05-Aug-16,2,Pago com atraso,01-Sep-16
62,10027,4,R$ 160.00,05-Sep-16,3,Pago com atraso,05-Oct-16
63,10027,4,R$ 160.00,05-Oct-16,4,Pago com atraso,06-Jan-18
64,10028,6,R$ 130.00,05-Jun-16,1,Pago com atraso,28-Jun-16
65,10028,6,R$ 130.00,05-Jul-16,2,Pago com atraso,05-Oct-16
66,10028,6,R$ 130.00,05-Aug-16,3,Pago com atraso,03-Mar-17
67,10028,6,R$ 130.00,05-Sep-16,4,Pago com atraso,03-Feb-17
68,10028,6,R$ 130.00,05-Oct-16,5,Pago com atraso,23-May-17
69,10028,6,R$ 130.00,05-Nov-16,6,Pago com atraso,31-May-17
70,10029,6,R$ 75.00,10-Jun-12,1,Vencida,
71,10029,6,R$ 75.00,10-Jul-12,2,Vencida,
72,10029,6,R$ 75.00,10-Aug-12,3,Vencida,
73,10029,6,R$ 75.00,10-Sep-12,4,Vencida,
74,10029,6,R$ 75.00,10-Oct-12,5,Vencida,
75,10029,6,R$ 75.00,10-Nov-12,6,Vencida,
76,10031,5,R$ 160.00,22-Mar-16,1,Pago com sucesso,08-Mar-16
77,10031,5,R$ 160.00,22-Apr-16,2,Pago com atraso,12-May-16
78,10031,5,R$ 160.00,22-May-16,3,Pago com atraso,03-Jun-16
79,10031,5,R$ 160.00,22-Jun-16,4,Pago com atraso,09-Aug-16
80,10031,5,R$ 160.00,22-Jul-16,5,Pago com atraso,05-Mar-17
81,10032,6,R$ 200.00,10-Jan-15,1,Pago com atraso,10-Feb-15
82,10032,6,R$ 200.00,10-Feb-15,2,Pago com atraso,11-Mar-15
83,10032,6,R$ 200.00,10-Mar-15,3,Pago com atraso,11-Mar-15
84,10032,6,R$ 200.00,10-Apr-15,4,Pago com atraso,13-Mar-17
85,10032,6,R$ 200.00,10-May-15,5,Pago com atraso,13-Mar-17
86,10032,6,R$ 200.00,10-Jun-15,6,Pago com atraso,13-Mar-17
99,10034,7,R$ 190.00,10-Sep-14,1,Vencida,
100,10034,7,R$ 190.00,10-Oct-14,2,Vencida,
101,10034,7,R$ 190.00,10-Nov-14,3,Vencida,
102,10034,7,R$ 190.00,10-Dec-14,4,Vencida,
103,10034,7,R$ 190.00,10-Jan-15,5,Vencida,
104,10034,7,R$ 190.00,10-Feb-15,6,Vencida,
105,10034,7,R$ 190.00,10-Mar-15,7,Vencida,
106,10033,6,R$ 100.00,10-Nov-13,1,Pago com sucesso,04-Nov-13
107,10033,6,R$ 100.00,10-Dec-13,2,Pago com atraso,12-Dec-13
108,10033,6,R$ 100.00,10-Jan-14,3,Pago com sucesso,10-Jan-14
109,10033,6,R$ 100.00,10-Feb-14,4,Pago com atraso,17-Feb-14
110,10033,6,R$ 100.00,10-Mar-14,5,Aberta,
111,10033,6,R$ 100.00,10-Apr-14,6,Aberta,
112,10035,1,R$ 366.00,05-Mar-16,1,Vencida,
113,10036,6,R$ 130.00,10-May-16,1,Pago com atraso,23-May-16
114,10036,6,R$ 130.00,10-Jun-16,2,Pago com atraso,10-Oct-16
115,10036,6,R$ 130.00,10-Jul-16,3,Pago com atraso,10-Jan-17
116,10036,6,R$ 130.00,10-Aug-16,4,Pago com atraso,04-Apr-18
117,10036,6,R$ 130.00,10-Sep-16,5,Pago com atraso,04-Apr-18
118,10036,6,R$ 130.00,10-Oct-16,6,Pago com atraso,04-Apr-18
119,10037,4,R$ 170.00,06-Jan-15,1,Pago com atraso,09-Jan-15
120,10037,4,R$ 170.00,06-Feb-15,2,Pago com atraso,06-Mar-15
121,10037,4,R$ 170.00,06-Mar-15,3,Vencida,
122,10037,4,R$ 170.00,06-Apr-15,4,Vencida,
123,10040,2,R$ 65.00,05-Jul-16,1,Pago com sucesso,05-Jul-16
124,10040,2,R$ 65.00,05-Aug-16,2,Pago com sucesso,05-Aug-16
125,10041,3,R$ 250.00,04-Jun-16,1,Pago com atraso,23-Feb-17
126,10041,3,R$ 250.00,04-Jul-16,2,Pago com atraso,22-Feb-17
127,10041,3,R$ 250.00,04-Aug-16,3,Pago com atraso,23-Feb-17
128,10042,2,R$ 136.00,27-Jan-17,1,Pago com atraso,16-Mar-19
129,10042,2,R$ 136.00,27-Feb-17,2,Pago com atraso,16-Mar-19
130,10044,2,R$ 55.00,07-Nov-16,1,Pago com atraso,02-Aug-19
131,10044,2,R$ 55.00,07-Dec-16,2,Pago com atraso,02-Aug-19
132,10046,6,R$ 115.00,05-Jan-17,1,Pago com sucesso,03-Jan-17
133,10046,6,R$ 115.00,05-Feb-17,2,Pago com sucesso,03-Feb-17
134,10046,6,R$ 115.00,05-Mar-17,3,Pago com sucesso,25-Feb-17
135,10046,6,R$ 115.00,05-Apr-17,4,Pago com sucesso,04-Apr-17
136,10046,6,R$ 115.00,05-May-17,5,Pago com sucesso,04-May-17
137,10046,6,R$ 115.00,05-Jun-17,6,Pago com sucesso,03-Jun-17
138,10047,1,R$ 116.00,23-Jan-17,1,Pago com atraso,09-May-17
139,10048,3,R$ 200.00,01-Feb-17,1,Pago com atraso,01-Mar-17
140,10048,3,R$ 200.00,01-Mar-17,2,Pago com sucesso,01-Mar-17
141,10048,3,R$ 200.00,01-Apr-17,3,Pago com sucesso,01-Mar-17
142,10049,6,R$ 100.00,18-Jan-16,1,Pago com sucesso,18-Jan-16
143,10049,6,R$ 100.00,18-Feb-16,2,Pago com atraso,19-Apr-16
144,10049,6,R$ 100.00,18-Mar-16,3,Pago com atraso,19-Apr-16
145,10049,6,R$ 100.00,18-Apr-16,4,Pago com atraso,03-Apr-17
146,10049,6,R$ 100.00,18-May-16,5,Pago com atraso,04-Dec-17
147,10049,6,R$ 100.00,18-Jun-16,6,Pago com atraso,21-Feb-18
148,10050,1,R$ 200.00,17-Apr-16,1,Pago com atraso,24-Mar-17
149,10051,3,R$ 200.00,12-Aug-16,1,Pago com atraso,28-Jul-17
150,10051,3,R$ 200.00,12-Sep-16,2,Pago com atraso,31-Jul-18
151,10051,3,R$ 200.00,12-Oct-16,3,Pago com atraso,14-Nov-19
152,10052,2,R$ 170.00,15-Feb-17,1,Pago com atraso,27-Mar-17
153,10052,2,R$ 170.00,15-Mar-17,2,Pago com atraso,27-Mar-17
156,10057,1,R$ 160.00,31-Jan-17,1,Pago com atraso,02-Feb-17
157,10060,6,R$ 150.00,28-Feb-17,1,Pago com atraso,14-Jun-17
158,10060,6,R$ 150.00,28-Mar-17,2,Pago com atraso,14-Jun-17
159,10060,6,R$ 150.00,28-Apr-17,3,Pago com atraso,27-Jul-18
160,10060,6,R$ 150.00,28-May-17,4,Pago com atraso,27-Jul-18
161,10060,6,R$ 150.00,28-Jun-17,5,Pago com atraso,27-Jul-18
162,10060,6,R$ 150.00,28-Jul-17,6,Pago com atraso,27-Jul-18
163,10059,3,R$ 400.00,15-Feb-17,1,Aberta,
164,10059,3,R$ 400.00,15-Mar-17,2,Aberta,
165,10059,3,R$ 400.00,15-Apr-17,3,Aberta,
166,10061,3,R$ 300.00,15-Feb-17,1,Pago com sucesso,15-Feb-17
167,10061,3,R$ 300.00,15-Mar-17,2,Pago com atraso,16-Mar-17
168,10061,3,R$ 300.00,15-Apr-17,3,Pago com atraso,17-Apr-17
169,10062,4,R$ 120.00,25-Feb-17,1,Pago com atraso,10-Jul-17
