prodId,name,reason
1,Produto Indisponivel,nome inválido
8,ARMAÇÃO NYLON,já existe
10,ARMAÇÃO BALGRIF,já existe
18,OCULOS SOLAR PROSOL,já existe
19,OCULOS SOLAR PIERRE CARDIN,já existe
21,SOLAR Z FORA DE LINHA,já existe
23,SOLAR Z FORA DE LINHA,já existe
24,SOLAR Z FORA DE LINHA,já existe
26,SOLAR Z FORA DE LINHA,já existe
27,SOLAR MAXLINE,já existe
28,SOLAR Z FORA DE LINHA,já existe
30,SOLAR Z FORA DE LINHA,já existe
31,OCULOS SOLAR LEMUD,já existe
32,OCULOS SOLAR KRISTAL,já existe
33,SOLAR COROLLA,já existe
34,SOLAR Z FORA DE LINHA,já existe
35,SOLAR Z FORA DE LINHA,já existe
36,SOLAR Z FORA DE LINHA,já existe
37,SOLAR Z FORA DE LINHA,já existe
40,LENTE P VIP/INC,já existe
41,LENTE P GT21.67/AR-MAR,já existe
42,LENTE P 1.50 ESPACE / INC.,já existe
43,LENTE P 1.50 ESPACE/TRANST,já existe
44,LENTE ARGOS 1.50 INC.,já existe
45,LENTE ARGOS 1.50 AR CX,já existe
47,LENTE GT2 PHOTOFUSION,já existe
48,LENTE P GT2/INC,já existe
49,LENTE P 1.50 ESPACE / AR,já existe
50,LENTE P VIP/TRANST,já existe
51,LENTE P VIP/AR,já existe
54,LENTE P VARILUX LIB/INC,já existe
55,LENTE P VARILUX LIB/CZ,já existe
56,VARILUX LIBERTY360 TRAN/CZ SAPPHIPE,já existe
57,LENTE VARILUX CONFORT MAX INC,já existe
58,VARILUX COMFORT MAX CZ SAPPHIRE,já existe
59,LENTE P VARILUX CONF.TRAN/CZ,já existe
60,LENTE Z FORA DE LINHA,já existe
70,LENTE PR1.50 ARGOS TRANSIT,já existe
71,LENTE PR1.50 ARGOS TRANSIT,já existe
72,LENTE P NOLINE INC,já existe
73,LENTE P NOLINE TRANS,já existe
74,LENTE P 1.50 ESPACE TRAN/AR,já existe
75,LENTE P 1.50 ESPACE TRANS VII/AR,já existe
76,LENTE PR1.50 ARGOS TF INC.,já existe
77,ARMAÇÃO PLATINI,já existe
78,SOLAR Z FORA DE LINHA,já existe
79,ARMAÇÃO NYLON,já existe
80,ARMAÇÃO Z FORA DE LINHA,já existe
81,ARMAÇÃO NYLON,já existe
83,ARMAÇÃO NYLON,já existe
84,ARMAÇÃO NYLON,já existe
85,ARMAÇÃO Z FORA DE LINHA,já existe
86,ARMAÇÃO RAY BAN,já existe
87,ARMAÇÃO Z FORA DE LINHA,já existe
88,ARMAÇÃO TECNOL,já existe
89,ARMAÇÃO ACETATO,já existe
90,ARMAÇÃO INFANTIL DIVERSAS,já existe
91,ARMAÇÃO NYLON,já existe
92,ARMAÇÃO ACETATO,já existe
93,ARMAÇÃO NYLON,já existe
94,ARMAÇÃO NYLON,já existe
95,ARMAÇÃO VOGUE,já existe
96,ARMAÇÃO NYLON,já existe
97,ARMAÇÃO NYLON FL,já existe
98,ARMAÇÃO PIERRE CARDIN,já existe
100,ARMAÇÃO ACETATO,já existe
101,ARMAÇÃO Z FORA DE LINHA,já existe
102,ARMAÇÃO MAXLINE,já existe
103,ARMAÇÃO LUCIANA GIMENES,já existe
104,ARMAÇÃO NYLON,já existe
107,ARMAÇÃO NYLON,já existe
108,ARMAÇÃO COPACABANA,já existe
109,LENTE ARGOS 1.60 AR BC,já existe
111,ARMAÇÃO JEAN MONIER,já existe
112,LENTE VS1.49 ACABADA AR,já existe
114,ARMAÇÃO NYLON,já existe
120,COLOLAÇÃO CINZA DEGRADE,já existe
122,ARMAÇÃO JEAN PIERRE,já existe
123,LENTE VS1.50 TRANSIT C2,já existe
125,LENTE VS1.49 ACABADA INC,já existe
126,ARMAÇÃO NYLON,já existe
127,ARMAÇÃO NYLON,já existe
131,ARMAÇÃO NYLON,já existe
132,LENTE VS1.50 ACABADA AR C-4,já existe
133,ARMAÇÃO BERINE,já existe
134,LENTE VS1.50 INC,já existe
135,ARMAÇÃO KEYPER,já existe
136,LENTE VS1.49 CRIZAL C-2,já existe
137,ARMAÇÃO LAVORATO,já existe
138,ARMAÇÃO SIGNUS,já existe
140,ARMAÇÃO Z FORA DE LINHA,já existe
141,LENTE VS1.59 INC,já existe
142,SOLAR Z FORA DE LINHA,já existe
143,LENTE P 1.50 ESPACE PLUS AR,já existe
144,ARMAÇÃO ACETATO,já existe
145,COLORAÇÃO CINZA SUAVE,já existe
146,COLOLAÇÃO CINZA,já existe
147,COLORAÇÃO MORRON ESCURO,já existe
148,LENTE VS1.50 SENSITY AR CE,já existe
149,ARMAÇÃO NYLON,já existe
150,LENTE PR1.50 ARGOS TANSIT AR CE,já existe
151,ARMAÇÃO Z FORA DE LINHA,já existe
152,LENTE VS1.50 TRANSIT VII,já existe
153,LENTE VS1.49 TRANSIT,já existe
154,LENTE VS1.59 AR,já existe
155,LENTE VS1.49 TRANST,já existe
156,LENTE VS1.49 ACABADA INC,já existe
159,OCULOS SOLAR LOUGGE,já existe
160,LENTE P NOLINE INC,já existe
161,LENTE P NOLINE FOTO,já existe
162,ARMAÇÃO NYLON,já existe
164,ARMAÇÃO POPULAR NYLON,já existe
165,ARMAÇÃO ACETATO,já existe
166,ARMAÇÃO METAL,já existe
167,LENTE VS1.59 ACABADA INC C-2,já existe
168,SOLDA,já existe
