[2026-09-22T20:19:52.969Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-22T20:19:54.294Z] INCONSISTÊNCIA FINANCEIRA venda=10035 calculado=650.00 ateTotal=1250.00
[2026-09-22T20:19:54.295Z] INCONSISTÊNCIA NOS ITENS venda=10035 calculado=650.00 itemTotalGeral=1250.00
[2026-09-22T20:19:54.737Z] INCONSISTÊNCIA FINANCEIRA venda=10041 calculado=800.00 ateTotal=750.00
[2026-09-22T20:19:56.483Z] INCONSISTÊNCIA FINANCEIRA venda=10072 calculado=480.00 ateTotal=400.00
[2026-09-22T20:19:56.559Z] INCONSISTÊNCIA FINANCEIRA venda=10073 calculado=1790.00 ateTotal=1300.00
[2026-09-22T20:19:56.630Z] INCONSISTÊNCIA FINANCEIRA venda=10074 calculado=1300.00 ateTotal=1280.00
[2026-09-22T20:19:56.704Z] INCONSISTÊNCIA FINANCEIRA venda=10075 calculado=940.00 ateTotal=700.00
[2026-09-22T20:19:56.842Z] INCONSISTÊNCIA FINANCEIRA venda=10077 calculado=990.00 ateTotal=900.00
[2026-09-22T20:19:56.909Z] INCONSISTÊNCIA FINANCEIRA venda=10078 calculado=2050.00 ateTotal=1630.00
[2026-09-22T20:19:56.978Z] INCONSISTÊNCIA FINANCEIRA venda=10079 calculado=320.00 ateTotal=200.00
[2026-09-22T20:19:57.051Z] INCONSISTÊNCIA FINANCEIRA venda=10080 calculado=830.00 ateTotal=700.00
[2026-09-22T20:19:57.123Z] INCONSISTÊNCIA FINANCEIRA venda=10081 calculado=640.00 ateTotal=500.00
[2026-09-22T20:19:57.195Z] INCONSISTÊNCIA FINANCEIRA venda=10082 calculado=1650.00 ateTotal=1300.00
[2026-09-22T20:19:57.264Z] INCONSISTÊNCIA FINANCEIRA venda=10083 calculado=620.00 ateTotal=500.00
[2026-09-22T20:19:57.396Z] INCONSISTÊNCIA FINANCEIRA venda=10085 calculado=650.00 ateTotal=400.00
[2026-09-22T20:19:57.463Z] INCONSISTÊNCIA FINANCEIRA venda=10086 calculado=900.00 ateTotal=800.00
[2026-09-22T20:19:57.534Z] INCONSISTÊNCIA FINANCEIRA venda=10087 calculado=630.00 ateTotal=500.00
[2026-09-22T20:19:57.626Z] INCONSISTÊNCIA FINANCEIRA venda=10088 calculado=880.00 ateTotal=840.00
[2026-09-22T20:19:57.696Z] INCONSISTÊNCIA FINANCEIRA venda=10090 calculado=930.00 ateTotal=900.00
[2026-09-22T20:19:57.829Z] INCONSISTÊNCIA FINANCEIRA venda=10092 calculado=720.00 ateTotal=700.00
[2026-09-22T20:19:57.967Z] INCONSISTÊNCIA FINANCEIRA venda=10094 calculado=2350.00 ateTotal=2120.00
[2026-09-22T20:19:58.034Z] INCONSISTÊNCIA FINANCEIRA venda=10095 calculado=990.00 ateTotal=960.00
[2026-09-22T20:19:58.101Z] INCONSISTÊNCIA FINANCEIRA venda=10096 calculado=500.00 ateTotal=370.00
[2026-09-22T20:19:58.243Z] INCONSISTÊNCIA FINANCEIRA venda=10098 calculado=860.00 ateTotal=800.00
[2026-09-22T20:19:58.313Z] INCONSISTÊNCIA FINANCEIRA venda=10099 calculado=914.00 ateTotal=910.00
[2026-09-22T20:19:58.380Z] INCONSISTÊNCIA FINANCEIRA venda=10100 calculado=1946.00 ateTotal=1680.00
[2026-09-22T20:19:58.447Z] INCONSISTÊNCIA FINANCEIRA venda=10101 calculado=550.00 ateTotal=500.00
